evt,wallclk,cl,de,locX,locY,opt1,opt2,opt3,opt4,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,pts,period
2,2024-09-17T23:02:58.0000000+00:00,10:00,Start Period,0,-80,0,0,0,0,0,12,,0,0,0,0,,0,20000,0,1
4,2024-09-17T23:03:01.5000000+00:00,09:55,Jump Ball Jones vs Collier (Harris gains possession),0,-80,0,0,0,0,0,10,1629483,1611661323,1628280,0,0,1630112,1611661323,60000,0,1
7,2024-09-17T23:03:21.7000000+00:00,09:35,[CON] Thomas Driving Reverse Layup Shot: Missed,-1,35,2,0,0,0,73,2,,1611661323,203826,0,0,,1611661323,70000,0,1
8,2024-09-17T23:03:22.7000000+00:00,09:34,[MIN] Collier Rebound (Off:0 Def:1),-1,35,0,0,0,0,0,4,,1611661324,1629483,0,0,,1611661323,80000,0,1
9,2024-09-17T23:03:28.2000000+00:00,09:29,[MIN 3-0] Carleton 3pt Shot: Made (3 PTS) Assist: Williams (1 AST),-149,202,3,1,0,0,2,1,,1611661324,1629524,0,3,1627675,1611661324,90000,3,1
11,2024-09-17T23:03:54.3000000+00:00,09:04,[CON 2-3] Thomas Driving Layup Shot: Made (2 PTS) Assist: Harris (1 AST),-70,18,2,0,0,0,6,1,,1611661323,203826,2,3,1630112,1611661323,110000,2,1
13,2024-09-17T23:04:14.5000000+00:00,08:43,[MIN] Collier Turnover : Lost Ball (1 TO) Steal:Thomas (1 ST),-100,13,1,0,0,0,2,5,203826,1611661324,1629483,2,3,,1611661324,130000,0,1
15,2024-09-17T23:04:20.3000000+00:00,08:39,[CON] Thomas Turnover : Out of Bounds - Bad Pass Turnover (1 TO),4,247,0,0,0,0,45,5,,1611661323,203826,2,3,101044,1611661323,150000,0,1
16,2024-09-17T23:04:49.4000000+00:00,08:18,[MIN 5-2] Collier Cutting Layup Shot: Made (2 PTS) Assist: Smith (1 AST),-73,25,2,0,0,0,98,1,,1611661324,1629483,2,5,1629501,1611661324,160000,2,1
18,2024-09-17T23:05:00.8000000+00:00,08:05,[CON] Carrington 3pt Shot: Missed,141,209,3,0,0,0,1,2,,1611661323,1630096,2,5,,1611661323,180000,0,1
19,2024-09-17T23:05:01.8000000+00:00,08:04,[MIN] McBride Rebound (Off:0 Def:1),141,209,0,0,0,0,0,4,,1611661324,203825,2,5,,1611661323,190000,0,1
20,2024-09-17T23:05:17.7000000+00:00,07:48,[MIN 7-2] Collier Turnaround Fadeaway shot: Made (4 PTS),-96,8,2,0,0,0,86,1,,1611661324,1629483,2,7,,1611661324,200000,2,1
22,2024-09-17T23:05:29.9000000+00:00,07:36,[CON] Carrington Turnover : Bad Pass (1 TO) Steal:Smith (1 ST),166,212,1,0,0,0,1,5,1629501,1611661323,1630096,2,7,,1611661323,220000,0,1
