evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:56,Jump Ball Collier vs Swords (Dangerfield gains possession),0,-80,0,0,0,10,202670,1611661324,1629483,0,0,1630101,1611661324,60000,1
7,09:43,[MIN 2-0] Collier Driving Layup Shot: Made (2 PTS) Assist: Dantas (1 AST),-39,16,2,0,6,1,,1611661324,1629483,2,0,203024,1611661324,70000,1
8,09:22,[LVA 3-2] McCoughtry 3pt Shot: Made (3 PTS) Assist: McBride (1 AST),141,205,3,0,1,1,,1611661319,201881,2,3,203825,1611661319,80000,1
10,09:10,[MIN] Dangerfield 3pt Shot: Missed,-183,185,3,0,1,2,,1611661324,1630101,2,3,,1611661324,100000,1
11,09:06,[LVA] McCoughtry Rebound (Off:0 Def:1),-183,185,0,0,0,4,,1611661319,201881,2,3,,1611661324,110000,1
12,08:58,[LVA] Swords Jump Shot: Missed,-52,150,2,0,1,2,,1611661319,202670,2,3,,1611661319,120000,1
13,08:56,[MIN] Dangerfield Rebound (Off:0 Def:1),-52,150,0,0,0,4,,1611661324,1630101,2,3,,1611661319,130000,1
14,08:51,[MIN 5-3] Dantas 3pt Shot: Made (3 PTS) Assist: Dangerfield (1 AST),-117,220,3,0,1,1,,1611661324,203024,5,3,1630101,1611661324,140000,1
16,08:36,[LVA] McCoughtry 3pt Shot: Missed,154,210,3,0,1,2,,1611661319,201881,5,3,,1611661319,160000,1
17,08:34,[MIN] Collier Rebound (Off:0 Def:1),154,210,0,0,0,4,,1611661324,1629483,5,3,,1611661319,170000,1
18,08:25,[MIN 7-3] Dantas Jump Shot: Made (5 PTS) Assist: Sims (1 AST),70,32,2,0,1,1,,1611661324,203024,7,3,203824,1611661324,180000,1
20,08:14,[LVA 6-7] McCoughtry 3pt Shot: Made (6 PTS) Assist: Allen (1 AST),83,236,3,0,1,1,,1611661319,201881,7,6,1628263,1611661319,200000,1
22,08:02,[MIN] Sims Jump Shot: Missed,115,160,2,0,1,2,,1611661324,203824,7,6,,1611661324,220000,1
23,07:58,[LVA] Team Rebound,115,160,0,0,0,4,,1611661319,0,7,6,,1611661324,230000,1
