evt,cl,de,locX,locY,opt1,opt2,mtype,etype,opid,tid,pid,hs,vs,epid,oftid,ord,period
2,10:00,Start Period,0,-80,0,0,0,12,,0,0,0,0,,0,20000,1
4,09:56,Jump Ball Williams vs Swords (Carter gains possession),0,-80,0,0,0,10,202670,1611661330,204322,0,0,1630150,1611661330,60000,1
7,09:45,[ATL] Laney 3pt Shot: Missed,221,116,3,0,1,2,,1611661330,204335,0,0,,1611661330,70000,1
8,09:41,[LVA] McCoughtry Rebound (Off:0 Def:1),221,116,0,0,0,4,,1611661319,201881,0,0,,1611661330,80000,1
9,09:37,[LVA 2-0] McCoughtry Driving Layup Shot: Made (2 PTS),-19,37,2,1,6,1,,1611661319,201881,0,2,,1611661319,90000,1
10,09:17,[ATL 2-2] Laney Driving Layup Shot: Made (2 PTS),30,13,2,0,6,1,,1611661330,204335,2,2,,1611661330,100000,1
11,09:00,[LVA] McCoughtry Layup Shot: Missed,-26,22,2,0,5,2,,1611661319,201881,2,2,,1611661319,110000,1
12,08:58,[ATL] Williams Rebound (Off:0 Def:1),-26,22,0,0,0,4,,1611661330,1627675,2,2,,1611661319,120000,1
13,08:47,[ATL] Johnson Jump Shot: Missed,50,180,2,0,1,2,,1611661330,203017,2,2,,1611661330,130000,1
14,08:39,[ATL] Williams Rebound (Off:1 Def:0),50,180,1,0,0,4,,1611661330,204322,2,2,,1611661330,140000,1
15,08:39,[ATL 4-2] Williams Putback Layup Shot: Made (2 PTS),0,-5,2,0,72,1,,1611661330,204322,4,2,,1611661330,150000,1
16,08:23,[LVA 4-4] McCoughtry Driving Layup Shot: Made (4 PTS),-34,15,2,0,6,1,,1611661319,201881,4,4,,1611661319,160000,1
17,08:13,[ATL] Carter 3pt Shot: Missed,-125,208,3,0,1,2,,1611661330,1630150,4,4,,1611661330,170000,1
18,08:11,[LVA] McBride Rebound (Off:0 Def:1),-125,208,0,0,0,4,,1611661319,203825,4,4,,1611661330,180000,1
19,07:57,[LVA 6-4] McCoughtry Layup Shot: Made (6 PTS),-25,16,2,0,5,1,,1611661319,201881,4,6,,1611661319,190000,1
20,07:31,[ATL 6-6] Laney Driving Layup Shot: Made (4 PTS),-27,6,2,0,6,1,,1611661330,204335,6,6,,1611661330,200000,1
21,07:21,[LVA] McCoughtry 3pt Shot: Missed,16,230,3,0,1,2,,1611661319,201881,6,6,,1611661319,210000,1
22,07:18,[ATL] Williams Rebound (Off:0 Def:2),16,230,0,0,0,4,,1611661330,1627675,6,6,,1611661319,220000,1
23,07:14,[ATL] Williams Jump Shot: Missed,50,182,2,0,1,2,,1611661330,1627675,6,6,,1611661330,230000,1
24,07:11,[ATL] Johnson Rebound (Off:1 Def:0),50,182,1,0,0,4,,1611661330,203017,6,6,,1611661330,240000,1
25,07:09,[ATL] Laney Jump Shot: Missed,-131,37,2,0,1,2,,1611661330,204335,6,6,,1611661330,250000,1
26,07:06,[LVA] Swords Rebound (Off:0 Def:1),-131,37,0,0,0,4,,1611661319,202670,6,6,,1611661330,260000,1
27,06:57,[LVA 8-6] McBride Jump Shot: Made (2 PTS),5,54,2,0,1,1,,1611661319,203825,6,8,,1611661319,270000,1
28,06:40,[ATL 8-8] Williams Jump Shot: Made (2 PTS),147,19,2,0,1,1,,1611661330,1627675,8,8,,1611661330,280000,1
29,06:31,[LVA] McBride Foul: Offensive Charge (1 PF),-152,103,0,0,26,6,1627675,1611661319,203825,8,8,,1611661319,290000,1
31,06:31,[LVA] McBride Turnover : Offensive Foul Turnover (1 TO),-152,103,0,0,37,5,,1611661319,203825,8,8,,1611661319,310000,1
32,06:17,[ATL 10-8] Williams Cutting Finger Roll Layup Shot: Made (4 PTS) Assist: Carter (1 AST),25,10,2,0,99,1,,1611661330,204322,10,8,1630150,1611661330,320000,1
34,06:02,[LVA] McCoughtry Layup Shot: Missed,24,5,2,0,5,2,,1611661319,201881,10,8,,1611661319,340000,1
35,05:59,[ATL] Johnson Rebound (Off:1 Def:1),24,5,0,0,0,4,,1611661330,203017,10,8,,1611661319,350000,1
36,05:52,[ATL] Carter Layup Shot: Missed,-24,13,2,0,5,2,,1611661330,1630150,10,8,,1611661330,360000,1
37,05:50,[LVA] Swords Rebound (Off:0 Def:2),-24,13,0,0,0,4,,1611661319,202670,10,8,,1611661330,370000,1
38,05:40,[LVA] Allen Jump Shot: Missed,75,152,2,0,1,2,,1611661319,1628263,10,8,,1611661319,380000,1
39,05:36,[ATL] Johnson Rebound (Off:1 Def:2),75,152,0,0,0,4,,1611661330,203017,10,8,,1611661319,390000,1
40,05:27,[LVA] Allen Foul: Shooting (1 PF) (2 FTA),-28,11,0,0,2,6,204335,1611661319,1628263,10,8,,1611661330,400000,1
42,05:27,[ATL 11-8] Laney Free Throw 1 of 2 (5 PTS),0,-80,1,0,11,3,,1611661330,204335,11,8,,1611661330,420000,1
43,05:27,[LVA] McCoughtry Substitution replaced by Robinson,0,-80,0,0,0,8,,1611661319,201881,11,8,202658,1611661330,430000,1
44,05:27,[LVA] Allen Substitution replaced by Young,0,-80,0,0,0,8,,1611661319,1628263,11,8,1629498,1611661330,440000,1
47,05:27,[ATL 12-8] Laney Free Throw 2 of 2 (6 PTS),0,-80,1,0,12,3,,1611661330,204335,12,8,,1611661330,470000,1
48,05:18,[LVA 10-12] McBride Jump Shot: Made (4 PTS) Assist: Wilson (1 AST),57,190,2,0,1,1,,1611661319,203825,12,10,1628932,1611661319,480000,1
50,04:59,[ATL] Johnson Jump Shot: Missed,-88,35,2,0,1,2,,1611661330,203017,12,10,,1611661330,500000,1
51,04:55,[LVA] Robinson Rebound (Off:0 Def:1),-88,35,0,0,0,4,,1611661319,202658,12,10,,1611661330,510000,1
52,04:51,[LVA] McBride 3pt Shot: Missed,208,125,3,1,1,2,,1611661319,203825,12,10,,1611661319,520000,1
53,04:49,[ATL] Johnson Rebound (Off:1 Def:3),208,125,0,0,0,4,,1611661330,203017,12,10,,1611661319,530000,1
54,04:43,[LVA] Robinson Foul: Shooting (1 PF) (2 FTA),-100,-1,0,0,2,6,1630150,1611661319,202658,12,10,,1611661330,540000,1
56,04:43,Timeout Officials,0,-80,0,0,4,9,,0,0,12,10,,1611661330,560000,1
57,04:43,[ATL] Johnson Substitution replaced by Billings,0,-80,0,0,0,8,,1611661330,203017,12,10,1628881,1611661330,570000,1
58,04:43,[LVA] Swords Substitution replaced by Hamby,0,-80,0,0,0,8,,1611661319,202670,12,10,204324,1611661330,580000,1
61,04:43,[ATL] Carter Free Throw 1 of 2 Missed,0,-80,2,0,11,3,,1611661330,1630150,12,10,,1611661330,610000,1
62,04:43,[ATL] Team Rebound,0,-80,1,0,1,4,,1611661330,0,12,10,,1611661330,610001,1
