game_clock,description,location_x,location_y,event_type,opp_player_id,player_id,sec_player_id,team_id,home_score,away_score,period
10:00,Start Period,0,-80,12,,0,,0,0,0,1
09:55,Jump Ball Egbo vs Hines-Allen (Henderson gains possession),0,-80,10,1628899,1631031,1631089,1611661325,0,0,1
09:47,[WAS] Hines-Allen Foul: Personal (1 PF),128,237,6,1628909,1628899,,1611661322,0,0,1
09:33,Jump Ball Smith vs Atkins (Henderson gains possession),0,-80,10,1628878,1631019,1631089,1611661325,0,0,1
09:31,[IND] Henderson Jump Shot: Missed,116,91,2,1628278,1631089,,1611661325,0,0,1
09:31,[IND] Team Rebound,116,91,4,,0,,1611661325,0,0,1
09:31,[IND] Team Turnover : Shot Clock Turnover,69,32,5,,0,,1611661325,0,0,1
09:11,[WAS] Delle Donne Turnaround Fadeaway Bank Jump Shot: Missed,-128,1,2,,203399,,1611661322,0,0,1
09:07,[IND] Egbo Rebound (Off:0 Def:1),-128,1,4,,1631031,,1611661325,0,0,1
08:58,[IND 2-0] Mitchell Cutting Layup Shot: Made (2 PTS) Assist: Henderson (1 AST),39,16,1,,1627676,1631089,1611661325,0,2,1
08:44,[WAS 2-2] Cloud Driving Layup Shot: Made (2 PTS),-35,-2,1,,204333,,1611661322,2,2,1
08:32,[IND 5-2] Mitchell 3pt Shot: Made (5 PTS) Assist: Henderson (2 AST),-157,203,1,,1627676,1631089,1611661325,2,5,1
08:10,[WAS 4-5] Cloud Cutting Layup Shot: Made (4 PTS) Assist: Hines-Allen (1 AST),23,-7,1,,204333,1628899,1611661322,4,5,1
07:58,[IND 7-4] Mitchell Driving Layup Shot: Made (2 PTS),-32,26,1,,1628909,,1611661325,4,7,1
07:58,[WAS] Walker-Kimbrough Foul: Shooting (1 PF) (1 FTA),-23,37,6,1628909,1628278,,1611661322,4,7,1
07:58,[IND 8-4] Mitchell Free Throw 1 of 1 (3 PTS),0,-80,3,,1628909,,1611661325,4,8,1
07:41,[WAS 6-8] Walker-Kimbrough Pullup Jump shot: Made (2 PTS),-130,36,1,,1628278,,1611661322,6,8,1
07:24,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,6,8,1
07:16,[IND] Smith Pullup Jump shot: Missed,-117,157,2,,1631019,,1611661325,6,8,1
07:12,[WAS] Cloud Rebound (Off:0 Def:1),-117,157,4,,204333,,1611661322,6,8,1
07:07,[WAS] Cloud 3pt Shot: Missed,56,224,2,,204333,,1611661322,6,8,1
07:05,[WAS] Delle Donne Rebound (Off:1 Def:0),56,224,4,,203399,,1611661322,6,8,1
07:03,[WAS 8-8] Delle Donne Jump Shot: Made (2 PTS),45,86,1,,203399,,1611661322,8,8,1
06:55,[IND] Mitchell 3pt Shot: Missed,168,185,2,,1628909,,1611661325,8,8,1
06:55,[IND] Mitchell Rebound (Off:1 Def:0),168,185,4,,1627676,,1611661325,8,8,1
06:41,[IND 10-8] Mitchell Alley Oop Layup shot: Made (7 PTS) Assist: Henderson (3 AST),16,26,1,,1627676,1631089,1611661325,8,10,1
06:30,[WAS 10-10] Hines-Allen Turnaround Jump Shot: Made (2 PTS),7,17,1,,1628899,,1611661322,10,10,1
06:07,[IND] Smith 3pt Shot: Missed,230,102,2,,1631019,,1611661325,10,10,1
06:04,[WAS] Hines-Allen Rebound (Off:0 Def:1),230,102,4,,1628899,,1611661322,10,10,1
05:59,[WAS] Walker-Kimbrough Driving Layup Shot: Missed,37,-2,2,,1628278,,1611661322,10,10,1
05:56,[IND] Egbo Rebound (Off:0 Def:2),37,-2,4,,1631031,,1611661325,10,10,1
05:48,[IND] Egbo Foul: Offensive Charge (1 PF),-27,133,6,1628278,1631031,,1611661325,10,10,1
05:48,[IND] Egbo Turnover : Offensive Foul Turnover (1 TO),-27,133,5,,1631031,,1611661325,10,10,1
05:30,[WAS 12-10] Delle Donne Layup Shot: Made (4 PTS) Assist: Walker-Kimbrough (1 AST),-38,-1,1,,203399,1628278,1611661322,12,10,1
05:16,[IND 12-12] Egbo Layup Shot: Made (2 PTS) Assist: Henderson (4 AST),40,24,1,,1631031,1631089,1611661325,12,12,1
05:06,[WAS 15-12] Atkins 3pt Shot: Made (3 PTS) Assist: Cloud (1 AST),228,-16,1,,1628878,204333,1611661322,15,12,1
04:57,[IND 14-15] Henderson Pullup Jump shot: Made (2 PTS),2,169,1,,1631089,,1611661325,15,14,1
04:45,[WAS 17-14] Atkins Driving Layup Shot: Made (5 PTS),-21,4,1,,1628878,,1611661322,17,14,1
04:36,[IND] Smith Foul: Offensive (1 PF),-77,178,6,1628878,1631019,,1611661325,17,14,1
04:36,[IND] Smith Turnover : Offensive Foul Turnover (1 TO),-77,178,5,,1631019,,1611661325,17,14,1
04:36,Timeout Officials,0,-80,9,,0,,0,17,14,1
04:36,[WAS] Walker-Kimbrough Substitution replaced by Hawkins,0,-80,8,,1628278,203403,1611661322,17,14,1
04:36,[WAS] Delle Donne Substitution replaced by Machida,0,-80,8,,203399,1630957,1611661322,17,14,1
04:36,[IND] Egbo Substitution replaced by Smith,0,-80,8,,1631031,1629501,1611661325,17,14,1
04:36,[IND] Henderson Substitution replaced by Dangerfield,0,-80,8,,1631089,1630101,1611661325,17,14,1
04:24,[WAS 20-14] Hawkins 3pt Shot: Made (3 PTS) Assist: Machida (1 AST),-230,-35,1,,203403,1630957,1611661322,20,14,1
04:11,[IND] Smith Foul: Offensive (1 PF),-165,222,6,203403,1629501,,1611661325,20,14,1
04:11,[IND] Smith Turnover : Offensive Foul Turnover (1 TO),-165,222,5,,1629501,,1611661325,20,14,1
03:57,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,20,14,1
03:49,[WAS] Hawkins Foul: Offensive Charge (1 PF),102,27,6,1629501,203403,,1611661322,20,14,1
03:49,[WAS] Hawkins Turnover : Offensive Foul Turnover (1 TO),102,27,5,,203403,,1611661322,20,14,1
03:24,[IND] Mitchell Jump Bank Shot: Missed,96,61,2,,1627676,,1611661325,20,14,1
03:24,[IND] Team Rebound,96,61,4,,0,,1611661325,20,14,1
03:24,[IND] Team Turnover : Shot Clock Turnover,88,28,5,,0,,1611661325,20,14,1
03:13,[WAS 22-14] Cloud Layup Shot: Made (6 PTS) Assist: Hines-Allen (2 AST),20,-1,1,,204333,1628899,1611661322,22,14,1
02:57,[IND] Mitchell Turnover : Bad Pass (1 TO) Steal:Atkins (1 ST),16,253,5,1628878,1628909,,1611661325,22,14,1
02:51,[WAS 24-14] Hawkins Layup Shot: Made (5 PTS) Assist: Atkins (1 AST),17,-1,1,,203403,1628878,1611661322,24,14,1
02:45,[IND] Team Timeout : Regular,0,-80,9,,1611661325,,1611661325,24,14,1
02:45,[WAS] Hines-Allen Substitution replaced by Walker-Kimbrough,0,-80,8,,1628899,1628278,1611661322,24,14,1
02:45,[WAS] Atkins Substitution replaced by Austin,0,-80,8,,1628878,1631022,1611661322,24,14,1
02:45,[IND] Mitchell Substitution replaced by Vivians,0,-80,8,,1628909,1628927,1611661325,24,14,1
02:45,[IND] Smith Substitution replaced by Engstler,0,-80,8,,1631019,1631083,1611661325,24,14,1
02:45,[IND] Mitchell Substitution replaced by Hull,0,-80,8,,1627676,1631086,1611661325,24,14,1
02:32,[IND] Dangerfield Turnover : Out of Bounds Lost Ball Turnover (1 TO),143,21,5,,1630101,,1611661325,24,14,1
02:12,[WAS 26-14] Austin Reverse Layup Shot: Made (2 PTS) Assist: Cloud (2 AST),-32,-5,1,,1631022,204333,1611661322,26,14,1
02:12,[IND] Vivians Foul: Shooting (1 PF) (1 FTA),-24,-15,6,1631022,1628927,,1611661325,26,14,1
02:12,[IND] Dangerfield Substitution replaced by Henderson,0,-80,8,,1630101,1631089,1611661325,26,14,1
02:12,[WAS 27-14] Austin Free Throw 1 of 1 (3 PTS),0,-80,3,,1631022,,1611661322,27,14,1
01:58,[IND] Engstler Driving Layup Shot: Missed,-23,24,2,,1631083,,1611661325,27,14,1
01:55,[IND] Engstler Rebound (Off:1 Def:0),-23,24,4,,1631083,,1611661325,27,14,1
01:54,[IND 16-27] Engstler Putback Layup Shot: Made (2 PTS),-10,23,1,,1631083,,1611661325,27,16,1
01:47,[IND] Vivians Foul: Personal (2 PF),-78,33,6,1631022,1628927,,1611661325,27,16,1
01:39,[IND] Hull Foul: Personal (1 PF) (2 FTA),-150,182,6,1628278,1631086,,1611661325,27,16,1
01:39,[WAS 28-16] Walker-Kimbrough Free Throw 1 of 2 (3 PTS),0,-80,3,,1628278,,1611661322,28,16,1
01:39,[WAS 29-16] Walker-Kimbrough Free Throw 2 of 2 (4 PTS),0,-80,3,,1628278,,1611661322,29,16,1
01:16,[IND] Smith 3pt Shot: Missed,227,115,2,,1629501,,1611661325,29,16,1
01:14,[IND] Team Rebound,227,115,4,,0,,1611661325,29,16,1
01:14,[WAS] Hawkins Foul: Loose Ball (2 PF),5,120,6,1631083,203403,,1611661322,29,16,1
01:11,[IND] Vivians Turnover : Out of Bounds - Bad Pass Turnover (1 TO),-138,-6,5,,1628927,,1611661325,29,16,1
01:00,[WAS] Cloud Turnover : Traveling (1 TO),132,208,5,,204333,,1611661322,29,16,1
01:00,[IND] Smith Substitution replaced by Egbo,0,-80,8,,1629501,1631031,1611661325,29,16,1
00:46.5,[IND] Vivians Pullup Jump shot: Missed,33,194,2,204333,1628927,,1611661325,29,16,1
00:43.5,[WAS] Hawkins Rebound (Off:0 Def:1),33,194,4,,203403,,1611661322,29,16,1
00:33.7,[WAS] Cloud 3pt Shot: Missed,227,68,2,,204333,,1611661322,29,16,1
00:30.3,[IND] Egbo Rebound (Off:0 Def:3),227,68,4,,1631031,,1611661325,29,16,1
00:13.9,[IND] Egbo Jump Shot: Missed,-4,180,2,,1631031,,1611661325,29,16,1
00:10.8,[WAS] Walker-Kimbrough Rebound (Off:0 Def:1),-4,180,4,,1628278,,1611661322,29,16,1
00:00.5,[IND] Egbo Foul: Shooting (2 PF) (2 FTA),20,3,6,204333,1631031,,1611661325,29,16,1
00:00.5,[WAS 30-16] Cloud Free Throw 1 of 2 (7 PTS),0,-80,3,,204333,,1611661322,30,16,1
00:00.5,[WAS 31-16] Cloud Free Throw 2 of 2 (8 PTS),0,-80,3,,204333,,1611661322,31,16,1
00:00.0,End Period,0,-80,13,,0,,0,31,16,1
10:00,Start Period,0,-80,12,,0,,0,31,16,2
09:43,[WAS] Delle Donne 3pt Shot: Missed,-133,193,2,,203399,,1611661322,31,16,2
09:39,[IND] Engstler Rebound (Off:1 Def:1),-133,193,4,,1631083,,1611661325,31,16,2
09:27,[IND] Henderson 3pt Shot: Missed,-232,-5,2,,1631089,,1611661325,31,16,2
09:24,[IND] Henderson Rebound (Off:1 Def:0),-232,-5,4,,1631089,,1611661325,31,16,2
09:20,[IND 18-31] Henderson Driving Layup Shot: Made (4 PTS),-20,23,1,,1631089,,1611661325,31,18,2
09:06,[WAS] Hines-Allen Layup Shot: Missed,-39,22,2,1631083,1628899,,1611661322,31,18,2
09:03,[IND] Smith Rebound (Off:0 Def:1),-39,22,4,,1631019,,1611661325,31,18,2
09:01,[IND] Engstler Turnover : Traveling (1 TO),175,163,5,,1631083,,1611661325,31,18,2
08:46,[WAS] Hines-Allen 3pt Shot: Missed,-167,185,2,,1628899,,1611661322,31,18,2
08:42,[IND] Engstler Rebound (Off:1 Def:2),-167,185,4,,1631083,,1611661325,31,18,2
08:26,[IND] Mitchell Pullup Jump shot: Missed,81,184,2,,1628909,,1611661325,31,18,2
08:22,[WAS] Delle Donne Rebound (Off:1 Def:1),100,244,4,,203399,,1611661322,31,18,2
08:20,[IND] Engstler Foul: Personal (1 PF),-21,166,6,203399,1631083,,1611661325,31,18,2
08:08,[WAS] Walker-Kimbrough Pullup Jump shot: Missed,-15,138,2,,1628278,,1611661322,31,18,2
08:04,[WAS] Hines-Allen Rebound (Off:1 Def:1),-15,138,4,,1628899,,1611661322,31,18,2
07:58,[WAS] Hines-Allen Hook Shot: Missed,53,14,2,1631083,1628899,,1611661322,31,18,2
07:55,[IND] Engstler Rebound (Off:1 Def:3),53,14,4,,1631083,,1611661325,31,18,2
07:53,[IND] Mitchell Pullup Jump shot: Missed,7,171,2,,1628909,,1611661325,31,18,2
07:52,[IND] Team Rebound,7,171,4,,0,,1611661325,31,18,2
07:52,[WAS] Delle Donne Foul: Loose Ball (1 PF),22,55,6,1631019,203399,,1611661322,31,18,2
07:37,[IND] Henderson Reverse Layup Shot: Missed,33,16,2,,1631089,,1611661325,31,18,2
07:34,[IND] Smith Rebound (Off:1 Def:1),33,16,4,,1631019,,1611661325,31,18,2
07:29,[IND] Smith 3pt Shot: Missed,-195,144,2,,1631019,,1611661325,31,18,2
07:25,[WAS] Machida Rebound (Off:0 Def:1),-195,144,4,,1630957,,1611661322,31,18,2
07:21,[WAS] Walker-Kimbrough Running Layup Shot: Missed,43,-1,2,,1628278,,1611661322,31,18,2
07:19,[IND] Henderson Rebound (Off:1 Def:1),43,-1,4,,1631089,,1611661325,31,18,2
07:16,[IND] Engstler Turnover : Traveling (2 TO),29,40,5,,1631083,,1611661325,31,18,2
07:00,[WAS] Atkins 3pt Shot: Missed,-6,251,2,,1628878,,1611661322,31,18,2
06:57,[IND] Smith Rebound (Off:1 Def:2),-6,251,4,,1631019,,1611661325,31,18,2
06:50,[WAS] Walker-Kimbrough Foul: Personal (2 PF),60,61,6,1628909,1628278,,1611661322,31,18,2
06:50,[WAS] Machida Substitution replaced by Cloud,0,-80,8,,1630957,204333,1611661322,31,18,2
06:50,[IND] Engstler Substitution replaced by Egbo,0,-80,8,,1631083,1631031,1611661325,31,18,2
06:50,[IND] Team Turnover : 5 Second Violation,233,236,5,,0,,1611661325,31,18,2
06:37,[IND] Mitchell Foul: Shooting (1 PF) (2 FTA),6,36,6,204333,1627676,,1611661325,31,18,2
06:37,[WAS 32-18] Cloud Free Throw 1 of 2 (9 PTS),0,-80,3,,204333,,1611661322,32,18,2
06:37,[WAS 33-18] Cloud Free Throw 2 of 2 (10 PTS),0,-80,3,,204333,,1611661322,33,18,2
06:15,[IND 20-33] Egbo Step Back Jump shot: Made (4 PTS),50,167,1,,1631031,,1611661325,33,20,2
05:57,[WAS 35-20] Hines-Allen Turnaround Fadeaway shot: Made (4 PTS) Assist: Walker-Kimbrough (2 AST),-6,42,1,,1628899,1628278,1611661322,35,20,2
05:57,[IND] Smith Foul: Shooting (2 PF) (1 FTA),-17,40,6,1628899,1631019,,1611661325,35,20,2
05:57,[WAS] Team Timeout : Regular,0,-80,9,,1611661322,,1611661322,35,20,2
05:57,[IND] Egbo Substitution replaced by Smith,0,-80,8,,1631031,1629501,1611661325,35,20,2
05:57,[WAS] Hines-Allen Free Throw 1 of 1 Missed,0,-80,3,,1628899,,1611661322,35,20,2
05:54,[IND] Mitchell Rebound (Off:0 Def:1),0,-80,4,,1628909,,1611661325,35,20,2
05:40,[WAS] Cloud Foul: Shooting (1 PF) (2 FTA),-28,40,6,1628909,204333,,1611661322,35,20,2
05:40,[IND 21-35] Mitchell Free Throw 1 of 2 (4 PTS),0,-80,3,,1628909,,1611661325,35,21,2
05:40,[IND] Mitchell Free Throw 2 of 2 Missed,0,-80,3,,1628909,,1611661325,35,21,2
05:38,[WAS] Cloud Rebound (Off:0 Def:2),0,-80,4,,204333,,1611661322,35,21,2
05:15,[WAS] Atkins Fadeaway Jump Shot: Missed,-152,-3,2,,1628878,,1611661322,35,21,2
