game_clock,description,location_x,location_y,event_type,opp_player_id,player_id,sec_player_id,team_id,home_score,away_score,points,period
10:00,Start Period,0,-80,12,,0,,0,0,0,0,1
09:56,Jump Ball Magbegor vs Cardoso (Magbegor gains possession),0,-80,10,1642289,1629496,1629496,1611661328,0,0,0,1
09:46,[SEA 2-0] N Ogwumike Cutting Layup Shot: Made (2 PTS) Assist: Diggins-Smith (1 AST),16,24,1,,203014,203400,1611661328,2,0,2,1
09:25,[CHI] Cardoso Turnaround Hook Shot: Missed,6,11,2,,1642289,,1611661329,2,0,0,1
09:22,[CHI] Reese Rebound (Off:1 Def:0),6,11,4,,1642291,,1611661329,2,0,0,1
09:20,[CHI] Reese Jump Shot: Missed,-135,100,2,,1642291,,1611661329,2,0,0,1
09:16,[CHI] Cardoso Rebound (Off:1 Def:0),-135,100,4,,1642289,,1611661329,2,0,0,1
09:09,[CHI] Carter Driving Layup Shot: Missed,17,3,2,,1630150,,1611661329,2,0,0,1
09:05,[SEA] Magbegor Rebound (Off:0 Def:1),17,3,4,,1629496,,1611661328,2,0,0,1
08:57,[SEA 4-0] Magbegor Cutting Finger Roll Layup Shot: Made (2 PTS) Assist: Diggins-Smith (2 AST),0,13,1,,1629496,203400,1611661328,4,0,2,1
08:33,[CHI 2-4] Reese Cutting Layup Shot: Made (2 PTS) Assist: Carter (1 AST),9,6,1,,1642291,1630150,1611661329,4,2,2,1
08:06,[SEA] Magbegor Driving Floating Bank Jump Shot: Missed,11,48,2,,1629496,,1611661328,4,2,0,1
08:06,[SEA] Team Rebound,11,48,4,,0,,1611661328,4,2,0,1
08:06,[SEA] Team Turnover : Shot Clock Turnover,0,50,5,,0,1628952,1611661328,4,2,0,1
07:50,[CHI] Mabrey Turnaround Jump Shot: Missed,-5,105,2,,1629497,,1611661329,4,2,0,1
07:47,[SEA] Diggins-Smith Rebound (Off:0 Def:1),-5,105,4,,203400,,1611661328,4,2,0,1
07:44,[CHI] Mabrey Foul: Shooting (1 PF) (2 FTA),-16,12,6,203400,1629497,1627539,1611661329,4,2,0,1
07:44,[SEA 5-2] Diggins-Smith Free Throw 1 of 2 (1 PTS),0,-80,3,,203400,,1611661328,5,2,1,1
07:44,[SEA 6-2] Diggins-Smith Free Throw 2 of 2 (2 PTS),0,-80,3,,203400,,1611661328,6,2,1,1
07:36,[CHI] Carter Driving Layup Shot: Missed Block: Magbegor (1 BLK),-29,21,2,1629496,1630150,,1611661329,6,2,0,1
07:36,[CHI] Team Rebound,-29,21,4,,0,,1611661329,6,2,0,1
07:32,Stoppage: Out-of-Bounds,0,-80,20,,0,,0,6,2,0,1
07:32,Stoppage: Equipment Malfunction,0,-80,20,,0,,0,6,2,0,1
07:30,[CHI] Mabrey 3pt Shot: Missed,187,186,2,,1629497,,1611661329,6,2,0,1
07:26,[CHI] Reese Rebound (Off:2 Def:0),187,186,4,,1642291,,1611661329,6,2,0,1
07:21,[CHI 4-6] Cardoso Layup Shot: Made (2 PTS) Assist: Carter (2 AST),-21,36,1,,1642289,1630150,1611661329,6,4,2,1
07:03,[SEA] Magbegor Cutting Layup Shot: Missed Block: Reese (1 BLK),19,19,2,1642291,1629496,,1611661328,6,4,0,1
07:03,[SEA] Team Rebound,19,19,4,,0,,1611661328,6,4,0,1
06:56,[CHI] Carter Foul: Flagrant Type 1 (1 PF) (2 FTA),30,18,6,203400,1630150,1629171,1611661329,6,4,0,1
06:56,Instant Replay - Overturn Ruling,0,-80,18,,0,,0,6,4,0,1
06:56,[SEA 7-4] Diggins-Smith Free Throw Flagrant 1 of 2 (3 PTS),0,-80,3,,203400,,1611661328,7,4,1,1
06:56,[SEA 8-4] Diggins-Smith Free Throw Flagrant 2 of 2 (4 PTS),0,-80,3,,203400,,1611661328,8,4,1,1
06:40,[SEA 10-4] Horston Jump Shot: Made (2 PTS) Assist: Loyd (1 AST),28,97,1,,1641651,204319,1611661328,10,4,2,1
06:22,[CHI] Reese Foul: Offensive (1 PF),-61,160,6,203014,1642291,1628952,1611661329,10,4,0,1
06:22,[CHI] Reese Turnover : Offensive Foul Turnover (1 TO),-61,160,5,,1642291,1628952,1611661329,10,4,0,1
06:22,InstantReplay Request Stands,0,-80,18,,0,,0,10,4,0,1
