"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Angel McCoughtry","ATL",286,8225,16616,32.90804044294656,10.020462205103515,21.966779008184883,0.45616438356164385,1.402262879152624,4.898892633606163,0.28624078624078625,0.2908863920099875,8.660327395281657,8.365430909966298,11.675493500240732,3.3943187289359655,0.8124699085219066,0.4174174174174174,0.44983818770226536,0.8068669527896996,0.18234767025089607,0.47833860004501466,0.4512768817204301,0.5171493902439024,1.4443909484833894,1.4744824265767935,0.06712328767123288,0.018054886856042368,0.0036855036855036856,31.518448196233386
"Tiffany Hayes","ATL",277,7713,15181,25.215730189052106,6.040445293458929,12.581516369145643,0.4801047120418848,2.14083393715829,6.475199262235689,0.3306205493387589,0.3329907502569373,6.712337790659377,5.282919438772149,6.797971148145709,5.394901521638891,1.0276002898359793,0.4372955288985823,0.4546485260770975,0.84,0.33978568959557554,0.5246720966620306,0.48548219840995505,0.5519744483159117,0.46110269415717015,1.0144259271457743,0.0806282722513089,0.05269745076081944,0.008138351983723296,22.202658184709758
"Sancho Lyttle","ATL",234,6874,13671,19.237802647940896,7.739009582327554,16.38504864311316,0.47232142857142856,0.2925901543413064,1.141101601931095,0.2564102564102564,0.2631578947368421,2.8820130202618683,11.762124204520518,3.7158949601345914,0.8119376782971253,0.06583278472679395,0.7599243856332704,0.8553191489361702,0.925,0.0651085141903172,0.44998605769230765,0.4666110183639399,0.4967778620166793,1.726281910613708,0.8411966937312559,0.05133928571428571,0,0,18.994656393687087
"Erika de Souza","ATL",199,5621,11313,21.347122779103685,9.334394059931054,17.53734641562804,0.532258064516129,0,0.008839388314328648,0,0,2.6783346592415804,13.153009811721029,5.515778308141076,0,0,0.7045454545454546,0.8502857142857143,0,0.0005037783375314861,0.49892617128463473,0.5319899244332493,0.5506155950752394,3.199858569786971,0.9016176080615221,0.05141129032258065,0,0,19.174793698424605
"Elizabeth Williams","ATL",187,5452,10739,16.426110438588324,6.527609647080734,13.492876431697551,0.48378191856452724,0,0.01862370798025887,0,0,3.3708911444268552,9.125616910326846,3.9296023838346215,0,0,0.6990014265335235,0.8263069139966274,0,0.0013783597518952446,0.5055102687801516,0.48311509303928324,0.51731220657277,2.011360461867958,1.8344352360554987,0.13595583160800553,0,0,15.50237692369672
"Rhyne Howard","ATL",103,3367,6685,26.207928197456994,4.6821241585639495,11.578160059835453,0.4043927648578811,3.9491398653702317,11.548242333582648,0.34196891191709844,0.34600262123197906,4.996260284218399,3.350785340314136,6.013462976813762,9.738219895287958,2.1091997008227374,0.35782747603833864,0.3684210526315789,0.821969696969697,0.49935316946959896,0.48360205211726387,0.45860284605433377,0.5054849884526559,0.26925953627524307,0.7778608825729244,0.06718346253229975,0.08975317875841436,0.007772020725388601,25.078740157480315
"Monique Billings","ATL",176,3295,6522,15.961361545538178,5.93376264949402,13.569457221711131,0.43728813559322033,0.015332720024532351,0.12266176019625881,0.125,0.125,4.047838086476541,8.249003373198406,3.618521925789635,0.045998160073597055,0,0.6950904392764858,0.8201219512195121,1,0.008958566629339306,0.49285386338185894,0.43505039193729006,0.4957142857142857,1.8092609628948175,1.2419503219871204,0.09152542372881356,0.015332720024532351,0.125,16.679862760622857
"Armintie Herrington","ATL",141,3198,6369,14.963102527869367,5.526770293609672,11.461767938451876,0.4821917808219178,0,0.12560841576385617,0,0,3.9095619406500237,7.06547338671691,3.988067200502434,0,0,0.6392045454545454,0.6923076923076923,0,0.01084010840108401,0.5255008163265307,0.47696476964769646,0.5134698275862069,0.8478568064060292,1.365991521431936,0.11917808219178082,0.01570105197048202,0.125,15.010598834128245
"Cheyenne Parker-Tyus","ATL",114,2768,5537,25.08578652700018,9.048221058334839,17.66299440130034,0.5122699386503068,0.7224128589488893,2.7632291854795015,0.26143790849673204,0.26143790849673204,4.822105833483836,12.53386310276323,5.562579013906448,2.0588766480043343,0.1083619288423334,0.6926147704590818,0.7797752808988764,0.95,0.13527851458885942,0.4994953941541187,0.4960212201591512,0.5440251572327044,2.02275600505689,1.2822828246342786,0.07259713701431493,0.018060321473722232,0.006535947712418301,23.8201175909741
"Allisha Gray","ATL",78,2574,5096,24.941130298273155,6.142072213500785,12.95133437990581,0.47424242424242424,2.1781789638932496,6.279434850863423,0.346875,0.34796238244514105,6.122448979591836,7.182103610675039,5.1020408163265305,6.181318681318682,0.3532182103610675,0.5846645367412141,0.6354166666666666,0.9459459459459459,0.32653061224489793,0.5048075587334014,0.48928571428571427,0.5518744551002616,0.9811616954474097,0.9222919937205651,0.07121212121212121,0.09811616954474098,0.015625,21.972169730286893
