Player,Year,Pos,Archetype,BPM,RAPM
BLAKE DIETRICK,2016,G,Roller/Cutter,25.227909677851223,12.176102457778548
AMISHA CARTER,2005,F,Roller/Cutter,18.95608571354039,40.415576996301006
KYSRE GONDREZICK,2024,G,Spot-up Shooter,16.383247124638146,69.20937300032085
SHAUNZINSKI GORTMAN,2004,G,Secondary Creator/Distributor,15.486769006035122,16.13684896104227
ERICA MCCALL,2020,F,Roller/Cutter,11.577287205043987,6.119559562108844
JAMILA WIDEMAN,2000,G,Roller/Cutter,11.436588911747638,-35.103132108363994
MONIQUE COKER,2004,PowerF,Spot-up Shooter,10.625137556721576,17.169777602712195
SHYLA HEAL,2021,G,Secondary Creator/Distributor,9.251625303308957,27.820914159212307
KALANA GREENE,2014,G,Roller/Cutter,9.169432217092403,1.9491450086227609
ADRIANA MOISES PINTO,2007,G,Secondary Creator/Distributor,9.02428234712983,-14.655398584174161
TAMERA YOUNG,2009,F,Secondary Creator/Distributor,8.95626574734067,20.49821037497174
SHATORI WALKER-KIMBROUGH,2021,G,Secondary Creator/Distributor,8.164549944293853,-4.025455755380136
CHEYENNE PARKER-TYUS,2015,F,Roller/Cutter,8.108327440771134,-1.8086661226293002
GRACE DALEY,2001,G,Secondary Creator/Distributor,8.037936706310155,4.3371785181500115
TANGELA SMITH,2009,C,Secondary Creator/Distributor,7.95926416733811,12.88982039601845
KELLEY GIBSON,2000,SG,Spot-up Shooter,7.857051013183554,8.957908649147313
TAMARA STOCKS,2001,PowerF,Roller/Cutter,7.779063721915277,-57.33540894344651
BRITTANY WILKINS,2006,C,Roller/Cutter,7.731666917104892,3.371900820142116
JESSICA BRUNGO,2005,F,Secondary Creator/Distributor,7.380452500203147,5.8503759214642415
CHRISTELLE N'GARSANET,2006,C,Interior Primary Option,7.349094443637269,3.647364692997062
TAMIKA CATCHINGS,2006,F,Primary On-Ball Creator,7.3042328481081435,17.36460417916412
POLLYANNA JOHNS KIMBROUGH,2004,C,Roller/Cutter,7.278555892839258,-6.67130737879395
MERCEDES RUSSELL,2023,C,Roller/Cutter,7.256647772344866,4.168220828774992
VICTORIA DUNLAP,2012,F,Interior Primary Option,7.153025385574805,64.49263157548447
DOMINIQUE CANTY,2004,G,Roller/Cutter,7.115860769783653,9.985041184192262
IVORY LATTA,2016,G,Spot-up Shooter,7.101816298732654,3.3675065030075726
COURTNEY PARIS,2019,C,Roller/Cutter,6.864424509537118,-3.8659168091497085
SONJA MALLORY,2003,C,Roller/Cutter,6.780741617212652,22.135100258707077
NATASHA LACY,2014,G,Secondary Creator/Distributor,6.689601715703829,2.6251660683249973
MWADI MABIKA,2000,G,Primary On-Ball Creator,6.649529995543503,11.10591864600724
