Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
ANGEL MCCOUGHTRY,LVA,2021,SG,Perimeter-Oriented Big/Wing,0.1,33.91490809565251,3.438302756748868
TEANA MILLER,PHO,2007,C,Roller/Cutter,5.2,26.371879762463735,5.044248130979742
VICKIE JOHNSON,NYL,2001,SG,Primary On-Ball Creator,940.8,24.636024068898394,4.519599475877818
LORELA CUBAJ,ATL,2023,PowerF,Roller/Cutter,18.6,23.001381690072595,32.96059519642277
TINA KRAJISNIK,CHI,2022,C,Roller/Cutter,5.4,22.880756629573302,56.83521801821929
LINNAE HARPER,MIN,2021,G,Roller/Cutter,5.3,22.079515027247545,55.915990272386495
GORDANA GRUBIN,PHO,2002,G,Primary On-Ball Creator,860.8,20.19284869926008,-45.59189262010138
KAILA CHARLES,ATL,2022,SG,Roller/Cutter,2.0,18.30091541429626,-29.290941734586074
ALEXIS PRINCE,ATL,2018,F,Perimeter-Oriented Big/Wing,6.0,16.7167132831959,54.29812134933698
QUEEN EGBO,LVA,2024,PowerF,Roller/Cutter,28.8,16.594130769863284,4.512351342323642
SOPHIA WITHERSPOON,LAS,2003,G,Spot-up Shooter,234.6,15.414522264768843,22.213184504001553
RAINA PEREZ,SEA,2022,G,Secondary Creator/Distributor,2.3,14.531091811031482,-50.18902941595722
BRITANY MILLER,DET,2009,C,Roller/Cutter,7.7,14.388629019156513,33.686255400489884
JAMILA WIDEMAN,POR,2000,G,Roller/Cutter,35.5,13.844894591871292,-17.563808026883116
JAIME NARED,LVA,2019,SG,Roller/Cutter,1.4,13.787538478034696,-0.30517937858623556
JAKIA BROWN-TURNER,WAS,2024,G,Roller/Cutter,8.0,12.728744332662181,-44.037790165034714
TAMICHA JACKSON,DET,2000,G,Primary On-Ball Creator,265.2,12.712171135488363,34.1520047494529
LA'TANGELA ATKINSON,SEA,2009,SG,Roller/Cutter,45.8,12.215831611570282,34.452703600354866
HANNAH SJERVEN,MIN,2022,C,Roller/Cutter,9.0,11.867848669639981,31.071452711830453
AVERY WARLEY-TALBERT,SAN,2016,C,Roller/Cutter,15.3,11.603302288820938,-12.868568782816627
ELENA SHAKIROVA,CHA,2002,C,Roller/Cutter,5.4,10.967038995639218,-44.81921827218095
SHAUNZINSKI GORTMAN,WAS,2004,G,Secondary Creator/Distributor,23.2,10.791166659342124,-20.40324845341267
MONIQUE AMBERS,SAC,2002,F,Roller/Cutter,3.8,10.739796184228693,-6.257751099899233
EVINA WESTBROOK,WAS,2022,G,Secondary Creator/Distributor,204.0,10.641846308495495,0.9096961750096142
