Player,Year,Pos,Archetype,DBPM,mean,BPM,RAPM
LINNAE HARPER,2021,G,Roller/Cutter,30.987867941386437,19.35740332341152,,
ANGEL MCCOUGHTRY,2021,SG,Perimeter-Oriented Big/Wing,23.54379255621406,102.58416215387253,,
JAMILA WIDEMAN,2000,G,Roller/Cutter,20.631102749159457,-14.08995516502441,11.436588911747638,-35.103132108363994
RENEE ROBINSON,2000,G,Spot-up Shooter,19.94504882391056,-20.820116209193102,,
AMBER HARRIS,2018,F,Roller/Cutter,18.98265698409287,-15.749554374372444,,
SOPHIE BRUNNER,2017,F,Roller/Cutter,18.946639946096234,-21.824583425625143,-2.0465392307063013,14.734003523349834
MONIQUE AMBERS,2002,F,Roller/Cutter,18.84259072521706,-3.5506521485971745,,
ERICA MCCALL,2020,F,Roller/Cutter,17.386219454068016,3.088372079994558,11.577287205043987,6.119559562108844
PLENETTE PIERSON,2009,F,Roller/Cutter,17.03420043749446,-29.34544523447232,,
SHANTIA OWENS,2002,F,Roller/Cutter,16.93119057783794,-28.72653064836144,,
REBECCA LOBO,1999,C,Roller/Cutter,16.67208187087099,29.87715208969148,,
WANDA GUYTON,1998,C,Roller/Cutter,16.473878444625345,28.331035009443468,-13.216664211885572,-73.1044455368629
BEVERLY WILLIAMS,2000,G,Secondary Creator/Distributor,15.610883195522073,-103.10143622470328,,
FELICIA RAGLAND,2005,G,Roller/Cutter,15.54156599274336,-19.413353377426773,,
SHATORI WALKER-KIMBROUGH,2021,G,Secondary Creator/Distributor,15.408467277249228,0.1189487323509156,8.164549944293853,-4.025455755380136
KIM SMITH,2007,F,Roller/Cutter,15.371063130389034,2.492123671119084,,
DANA WYNNE,2001,F,Roller/Cutter,15.235842831070443,5.84016091978525,,
PAIGE SAUER,2001,C,Interior Primary Option,15.212299686726348,-6.934181483345719,,
CORI CHAMBERS,2007,G,Secondary Creator/Distributor,15.074189130507689,-36.78447020022816,,
RENNIA DAVIS,2022,SG,Roller/Cutter,14.888391304418139,-6.21706019407733,-1.745339805807184,-34.69839095801062
KIM GESSIG,1997,F,Roller/Cutter,14.686041352407432,-37.06556028318053,,
LORELA CUBAJ,2023,PowerF,Roller/Cutter,14.367993264179809,24.839491013109384,1.274634820434688,-14.423405283351162
TAYLOR SOULE,2024,F,Roller/Cutter,14.343444745348167,-65.40734855392313,,
TEANA MILLER,2007,C,Roller/Cutter,13.637949872814962,11.524059678758334,,
ELENA SHAKIROVA,2002,C,Roller/Cutter,13.031650067932667,-43.49339137690362,,
BRITANY MILLER,2009,C,Roller/Cutter,12.620411902792773,38.24962809675923,,
BRIANA BUTLER,2014,G,Roller/Cutter,12.524786968785255,0.9723275579937682,-6.088405822956664,-3.6601184910988636
KEITHA DICKERSON,2001,F,Secondary Creator/Distributor,11.933791610285553,32.70814893039118,,
MARCEDES WALKER,2008,C,Interior Primary Option,11.835047912780714,20.547556569913542,,
MACTABENE AMACHREE,2001,F,Roller/Cutter,11.817686505385183,-72.83011799428807,,
JAKIA BROWN-TURNER,2024,G,Roller/Cutter,11.551154889050617,-19.43365504825489,,
