Player,Team,Year,Pos,Archetype,DBPM,mean,Total Minutes,BPM,RAPM
LINNAE HARPER,MIN,2021,G,Roller/Cutter,23.041392283387708,19.35740332341152,5.3,22.079515027247545,55.915990272386495
LORELA CUBAJ,ATL,2023,PowerF,Roller/Cutter,22.40722168434904,24.839491013109384,18.6,23.001381690072595,32.96059519642277
CORI CHAMBERS,CON,2007,G,Secondary Creator/Distributor,18.311302880303096,-36.78447020022816,0.9,-83.71185750560073,-133.13734465344652
TEANA MILLER,PHO,2007,C,Roller/Cutter,17.27085902170666,11.524059678758334,5.2,26.371879762463735,5.044248130979742
RENEE ROBINSON,WAS,2000,G,Spot-up Shooter,17.14197993316541,-20.820116209193102,5.4,4.864235220166805,-27.523112052789415
PLENETTE PIERSON,DET,2009,F,Roller/Cutter,17.134002944257134,-29.34544523447232,5.1,6.712349301599097,-59.99185945865271
ELENA SHAKIROVA,CHA,2002,C,Roller/Cutter,16.126393492994445,-43.49339137690362,5.4,10.967038995639218,-44.81921827218095
JESSICA MOORE,WAS,2013,PowerF,Roller/Cutter,16.002783855041127,36.333842693560214,7.6,8.611751106170143,63.462231909180076
WANDA GUYTON,HOU,1998,C,Roller/Cutter,15.642368028472244,28.331035009443468,13.5,-12.628030873041041,-13.195052186985691
AMBROSIA ANDERSON,NYL,2006,F,Roller/Cutter,14.96096190401632,5.932558177324669,9.6,0.09747303856771516,3.769330765042263
JAMILA WIDEMAN,POR,2000,G,Roller/Cutter,14.783470127439069,-14.08995516502441,35.5,13.844894591871292,-17.563808026883116
DANA WYNNE,SAC,2001,F,Roller/Cutter,14.552789615599682,5.84016091978525,2.9,6.670840911191668,-0.43405393054825403
AMBER HARRIS,CHI,2018,F,Roller/Cutter,14.45609801967597,-15.749554374372444,2.2,4.49628956721422,3.6758683337448126
SOPHIE BRUNNER,SAN,2017,F,Roller/Cutter,14.397592608502991,-21.824583425625143,15.2,4.534814795364698,-24.149243626721834
MONIQUE AMBERS,SAC,2002,F,Roller/Cutter,14.228576976225497,-3.5506521485971745,3.8,10.739796184228693,-6.257751099899233
BEVERLY WILLIAMS,IND,2000,G,Secondary Creator/Distributor,14.164528872029315,-103.10143622470328,3.1,8.067502443332423,-96.91399950558456
MACTABENE AMACHREE,NYL,2001,F,Roller/Cutter,14.04769530736367,-72.83011799428807,2.8,4.831612847542608,-90.68547471933944
SHANTIA OWENS,CHA,2002,F,Roller/Cutter,13.970862439307322,-28.72653064836144,5.6,8.654710699968213,-32.968460635589246
JAKIA BROWN-TURNER,WAS,2024,G,Roller/Cutter,13.172762212680155,-19.43365504825489,8.0,12.728744332662181,-44.037790165034714
BRITANY MILLER,DET,2009,C,Roller/Cutter,13.028984145879255,38.24962809675923,7.7,14.388629019156513,33.686255400489884
KIM SMITH,SAC,2007,F,Roller/Cutter,12.949045544822711,2.492123671119084,6.300000000000001,-6.230935015680876,-39.91361493028722
TAYLOR SOULE,MIN,2024,F,Roller/Cutter,12.933107204555933,-65.40734855392313,3.0,-16.047114631127762,-166.8428291002295
ANGELA AYCOCK,MIN,2000,G,Secondary Creator/Distributor,12.829174825541344,-9.741999001007091,12.8,7.90498195948677,-11.692392401258573
SHAUNZINSKI GORTMAN,WAS,2004,G,Secondary Creator/Distributor,12.58863354412201,-23.877132766614864,23.2,10.791166659342124,-20.40324845341267
RYNELDI BECENTI,PHO,1997,G,Secondary Creator/Distributor,12.516081778517776,-1.4228024458103428,8.3,,
KIM GESSIG,LAS,1997,F,Roller/Cutter,12.021358330548393,-37.06556028318053,3.7,,
QUEEN EGBO,LVA,2024,PowerF,Roller/Cutter,11.456697286716258,18.58565732133177,28.8,16.594130769863284,4.512351342323642
JENNIFER WHITTLE,WAS,1999,C,Secondary Creator/Distributor,11.133806657830279,-28.73241759347736,17.4,-0.09716757669536946,-48.782330988548935
CHUCKY JEFFERY,NYL,2013,G,Primary On-Ball Creator,10.635054565034007,-23.42564529464701,5.8,2.650269349498344,-75.87150358165559
PAIGE SAUER,CLE,2001,C,Interior Primary Option,10.508425556404415,-6.934181483345719,3.8,7.604337177158229,-6.9186574735940205
GWEN SLAUGHTER,MIN,2004,F,Roller/Cutter,10.484248726757102,-8.777328968794322,7.5,4.968726979993261,-15.654056953298747
SAMANTHA PRAHALIS,NYL,2013,G,Secondary Creator/Distributor,10.419664229689777,-11.149733856143406,108.9,-9.937181861161536,-8.936918646267307
PAT LUCKEY,PHO,2001,F,Secondary Creator/Distributor,10.411286289102899,-37.66605798224587,8.3,1.712369114800934,-42.057390393592286
ASHLEY WALKER,TUL,2010,PowerF,Secondary Creator/Distributor,10.369129737639916,-16.14001376353053,9.2,-6.926002383505498,-41.715037047603865
HANNAH SJERVEN,MIN,2022,C,Roller/Cutter,10.313420439987208,26.636245111445454,9.0,11.867848669639981,31.071452711830453
FELICIA RAGLAND,HOU,2005,G,Roller/Cutter,10.071401844507205,-19.413353377426773,6.8,5.000661627364771,-54.805596219557536
JIA PERKINS,CHA,2004,G,Interior Primary Option,10.069239402501687,24.478756593974342,16.8,-3.090021501981271,7.672384023604064
NICOLE KUBIK,PHO,2001,G,Secondary Creator/Distributor,9.99123655754881,-7.326877281268593,21.299999999999997,4.46647711837894,-13.976737431075243
KELLIE JOLLY HARPER,CLE,1999,G,Secondary Creator/Distributor,9.971223048779523,-32.51675326390666,3.6,9.91806812443722,-37.010937694735254
ALEAH GOODMAN,CON,2021,G,Secondary Creator/Distributor,9.965848746191952,-103.21008255595262,3.2,9.363167878026939,-151.71355586617517
ITORO UMOH-COLEMAN,HOU,2003,G,Secondary Creator/Distributor,9.96364342721069,-42.23070692418019,5.1,10.05609972504326,-39.90809163784948
KALANA GREENE,WAS,2014,G,Roller/Cutter,9.48149867841878,8.52671919759936,78.0,5.344683234908857,-5.609098158412046
ANGEL MCCOUGHTRY,LVA,2021,SG,Perimeter-Oriented Big/Wing,9.370846681358024,102.58416215387253,0.1,33.91490809565251,3.438302756748868
HEATHER OWEN,WAS,2000,PowerF,Roller/Cutter,9.145653613323349,0.3732539311280872,60.5,4.535209873299354,14.295590659894296
JENNY MOWE,LAS,2003,C,Roller/Cutter,9.126259792110947,-33.94337573287204,20.8,5.118087040017748,-36.69564351388589
LA'TANGELA ATKINSON,SEA,2009,SG,Roller/Cutter,9.043935319881108,27.137250432264583,45.8,12.215831611570282,34.452703600354866
AVERY WARLEY-TALBERT,SAN,2016,C,Roller/Cutter,8.922739725674909,0.7940977500969345,15.3,11.603302288820938,-12.868568782816627
MICHAELA PAVLICKOVA,UTA,2001,F,Roller/Cutter,8.748852889376357,3.2545926335268955,19.0,7.452239565809381,6.596361213396717
AMISHA CARTER,NYL,2005,F,Roller/Cutter,8.737558416176787,-7.966371319902484,12.9,-7.976182073603502,-19.676892436286288
KAREN BOOKER,HOU,1998,C,Secondary Creator/Distributor,8.638802191791939,-61.141515077302,2.2,-2.4405291241728424,-82.68587266882341
JASMINE HASSELL,IND,2014,F,Roller/Cutter,8.391899634954989,18.98175811071515,20.6,3.435066855959815,-20.8835289349836
QUACY BARNES,PHO,2002,C,Interior Primary Option,8.215735713247625,12.34337493450948,13.4,4.932577901430157,14.622418704395873
SANDORA IRVIN,PHO,2006,F,Roller/Cutter,8.180490185277133,21.377326377780996,38.5,-2.319405696969799,-1.7447012972711384
BRITTANY BREWER,ATL,2020,F,Roller/Cutter,8.15636311306791,-3.6945227001664183,32.5,2.7559449390460022,-14.759189938234462
MACTABENE AMACHREE,SEA,2003,F,Roller/Cutter,8.155650888041942,35.33627381056146,49.0,3.920072781179573,31.483828851905297
TYRESA SMITH,DET,2007,F,Roller/Cutter,7.867643891644887,-39.18543200393435,7.2,-1.335915049674135,-49.924636959096745
SHAE KELLEY,MIN,2015,F,Roller/Cutter,7.82536309525478,-12.094389215515577,18.4,-5.37709955101112,-41.98616843347034
ASHLEY ROBINSON,PHO,2004,C,Roller/Cutter,7.641612914830074,9.519124287988374,125.4,0.7039786392463308,3.1528268854083823
AMERYST ALSTON,NYL,2016,G,Secondary Creator/Distributor,7.626919545056445,-47.56482833700246,0.2,-1.3231968314707974,-150.92538648695154
AARYN ELLENBERG,CHI,2014,G,Secondary Creator/Distributor,7.626919545056445,-0.9204486890500254,1.0,-1.3231968314707974,-99.54363157500538
WANISHA SMITH,DET,2008,G,Secondary Creator/Distributor,7.626919545056445,96.30365687700822,0.2,-1.3231968314707974,0.8281721817402001
JASMINE WALKER,LAS,2021,F,Secondary Creator/Distributor,7.620750196109068,-19.297888885852913,20.0,-10.467829253569604,-44.828756619346905
