Player,Year,Pos,Archetype,OBPM,mean
CARLA MCGHEE,2002,F,Interior Primary Option,15.427328575630098,19.82632494750137
ALEXIS PRINCE,2018,F,Perimeter-Oriented Big/Wing,15.389260228402678,38.92824921397919
DANA WYNNE,2001,F,Roller/Cutter,13.984800111899505,5.421225555894661
ELENA DELLE DONNE,2021,SG,Perimeter-Oriented Big/Wing,10.535035404764464,9.933903325435528
AMERYST ALSTON,2017,G,Interior Primary Option,9.465982471952136,11.733970470297042
BRITTANY BOYD-JONES,2017,G,Interior Primary Option,9.250095893611197,-8.564988114333374
JESSICA ADAIR,2010,C,Roller/Cutter,8.980722213181307,55.0902509805091
ALEXIS PRINCE,2020,F,Spot-up Shooter,8.929539203082847,-31.129254314899462
ADIA BARNES,2001,F,Roller/Cutter,8.656241760766997,-19.217132354284807
RENNIA DAVIS,2022,SG,Roller/Cutter,8.396243756618523,23.191777742111135
ELENA DELLE DONNE,2019,SG,Perimeter-Oriented Big/Wing,8.040328939205311,17.7115631921217
STACEY FORD,2001,F,Roller/Cutter,8.005696571119127,48.38194831620349
ASIA TAYLOR,2016,F,Interior Primary Option,7.59305308793454,20.26237731827964
ANGEL MCCOUGHTRY,2020,SG,Perimeter-Oriented Big/Wing,7.356929905067453,6.926689513393488
ANGEL MCCOUGHTRY,2021,SG,Perimeter-Oriented Big/Wing,7.121541496984406,-99.14585939712366
COURTNEY VANDERSLOOT,2020,G,Primary On-Ball Creator,7.108527880639081,6.342413737729182
ELENA SHAKIROVA,2002,C,Roller/Cutter,6.874573964569632,40.21810578837941
ELENA DELLE DONNE,2017,SG,Perimeter-Oriented Big/Wing,6.836692977308211,6.299292503914264
PAULINE JORDAN,1998,PowerF,Roller/Cutter,6.802474034575676,-2.186746156296569
SHEY PEDDY,2019,G,Secondary Creator/Distributor,6.565103393186236,1.4846593409461948
LAUREN JACKSON,2006,PowerF,Perimeter-Oriented Big/Wing,6.344107521778348,11.600106486404991
NNEKA OGWUMIKE,2016,F,Interior Primary Option,6.067125354590316,6.227483797101432
TINA KRAJISNIK,2022,C,Roller/Cutter,6.036403484998429,68.26421825961599
SEIMONE AUGUSTUS,2009,SG,Perimeter-Oriented Big/Wing,5.9969413078983544,15.740647724008983
SHERILL BAKER,2009,G,Secondary Creator/Distributor,5.767616668862854,40.01398172765713
ELENA DELLE DONNE,2018,SG,Perimeter-Oriented Big/Wing,5.649961655705572,7.692413253739174
BERNADETTE NGOYISA,2002,C,Roller/Cutter,5.371091266446132,-14.2655713962226
LINDSAY ALLEN,2022,G,Secondary Creator/Distributor,5.357972952007252,-1.0262540216793343
KAMIAH SMALLS,2020,G,Spot-up Shooter,5.287040387198534,-3.8929726875749617
BREANNA STEWART,2023,F,Perimeter-Oriented Big/Wing,5.2863866728092,7.0576959913559065
ELENA DELLE DONNE,2015,SG,Perimeter-Oriented Big/Wing,5.229174039033932,8.511269238801889
CANDACE PARKER,2015,PowerF,Perimeter-Oriented Big/Wing,5.192405369116341,10.514702108827343
EMMA MEESSEMAN,2019,F,Perimeter-Oriented Big/Wing,5.18118777765008,6.593536764982893
JONQUEL JONES,2018,C,Interior Primary Option,5.160952399616605,2.5177934338233725
ELENA DELLE DONNE,2016,SG,Perimeter-Oriented Big/Wing,5.141716664975533,5.395099896966881
ELENA DELLE DONNE,2022,SG,Perimeter-Oriented Big/Wing,5.12031075195371,3.94769434276098
SUE BIRD,2018,G,Spot-up Shooter,5.0907467699035,8.777680460727154
QUEEN EGBO,2024,PowerF,Roller/Cutter,4.964739538360965,-14.073305979008127
BREANNA STEWART,2022,F,Perimeter-Oriented Big/Wing,4.917710971738097,4.2156845864733805
CORNELIA GAYDEN,2000,G,Spot-up Shooter,4.8656879586113995,-16.15533849460993
LIZ CAMBAGE,2018,C,Perimeter-Oriented Big/Wing,4.796457916592556,4.022208256495201
MAYA MOORE,2013,F,Primary On-Ball Creator,4.729631404978287,7.60440355905598
CAMILLE COOPER,2001,C,Interior Primary Option,4.60289091268341,-2.7552801392379007
MAYA MOORE,2012,F,Primary On-Ball Creator,4.571528342236083,9.81440245903698
JACKIE YOUNG,2023,G,Primary On-Ball Creator,4.563720734553175,11.615645518713544
A'JA WILSON,2024,C,Perimeter-Oriented Big/Wing,4.555440788670136,0.2368484788655528
KARA LAWSON,2012,G,Primary On-Ball Creator,4.529347469030593,7.452878299640848
TIANNA HAWKINS,2019,F,Interior Primary Option,4.504817982615113,-3.8990157786954738
A'JA WILSON,2023,C,Perimeter-Oriented Big/Wing,4.500647797298126,6.608875468990872
DIANA TAURASI,2018,G,Primary On-Ball Creator,4.43246402320696,5.531506363682544
PENNY TAYLOR,2011,F,Primary On-Ball Creator,4.279708641606475,5.838360211967318
CHELSEA GRAY,2023,G,Primary On-Ball Creator,4.275790786195469,3.4718727337023556
PENNY TAYLOR,2016,F,Primary On-Ball Creator,4.237985247717527,2.929306011504356
EPIPHANNY PRINCE,2019,G,Spot-up Shooter,4.232123860550335,19.609585551354712
BREANNA STEWART,2018,F,Perimeter-Oriented Big/Wing,4.208223278169777,4.8751073193595795
PENNY TAYLOR,2010,F,Primary On-Ball Creator,4.14354005551425,2.1581367658292683
SUE BIRD,2020,G,Spot-up Shooter,4.105283534579719,14.081415937605827
ELENA DELLE DONNE,2023,SG,Perimeter-Oriented Big/Wing,4.043612963679236,0.7703463625349133
SYLVIA FOWLES,2020,C,Interior Primary Option,3.9706302141151673,-0.4265217476586092
