Player,Team,Year,Pos,Archetype,OBPM,mean,Total Minutes
DANA WYNNE,SAC,2001,F,Roller/Cutter,25.10191713259492,5.421225555894661,2.9
ANGEL MCCOUGHTRY,LVA,2021,SG,Perimeter-Oriented Big/Wing,24.544061414294482,-99.14585939712366,0.1
KATRYNA GAITHER,WAS,2002,C,Secondary Creator/Distributor,22.129060827640156,-43.192532512284345,6.2
ALEXIS PRINCE,ATL,2018,F,Perimeter-Oriented Big/Wing,19.136627502289176,38.92824921397919,6.0
TINA KRAJISNIK,CHI,2022,C,Roller/Cutter,17.43435739984024,68.26421825961599,5.4
JAIME NARED,LVA,2019,SG,Roller/Cutter,16.843125619621432,1.176852643305166,1.4
CARLA MCGHEE,ORL,2002,F,Interior Primary Option,15.191500457239338,19.82632494750137,4.0
ANGELA AYCOCK,MIN,2000,G,Secondary Creator/Distributor,13.143197980050424,39.62352555872169,12.8
KAILA CHARLES,ATL,2022,SG,Roller/Cutter,13.128170107245662,19.775453557934465,2.0
ELENA DELLE DONNE,WAS,2021,SG,Perimeter-Oriented Big/Wing,11.365706570234511,9.933903325435528,52.2
ELENA SHAKIROVA,CHA,2002,C,Roller/Cutter,9.294798863390142,40.21810578837941,5.4
TEANA MILLER,PHO,2007,C,Roller/Cutter,9.101020740757077,-6.479811547778592,5.2
ASIA TAYLOR,CON,2016,F,Interior Primary Option,8.677890655987627,20.26237731827964,17.2
ELENA DELLE DONNE,WAS,2019,SG,Perimeter-Oriented Big/Wing,8.175706905759514,17.7115631921217,902.1
ANGEL MCCOUGHTRY,LVA,2020,SG,Perimeter-Oriented Big/Wing,8.023211639630444,6.926689513393488,440.0
RAINA PEREZ,SEA,2022,G,Secondary Creator/Distributor,7.954800169195589,-1.8150350680434837,2.3
BERNADETTE NGOYISA,NYL,2002,C,Roller/Cutter,7.7454258156733795,-14.2655713962226,11.9
JESSICA ADAIR,MIN,2010,C,Roller/Cutter,7.712925066424208,55.0902509805091,13.6
ADIA BARNES,CLE,2001,F,Roller/Cutter,7.625682368489813,-19.217132354284807,2.7
SEIMONE AUGUSTUS,MIN,2009,SG,Perimeter-Oriented Big/Wing,7.331248275269397,15.740647724008983,178.2
ELENA DELLE DONNE,WAS,2017,SG,Perimeter-Oriented Big/Wing,6.959210546828691,6.299292503914264,757.5
COURTNEY VANDERSLOOT,CHI,2020,G,Primary On-Ball Creator,6.855501812808503,6.342413737729182,693.0
ALEXIS PRINCE,CHI,2020,F,Spot-up Shooter,6.8148020570241234,-31.129254314899462,16.0
STACEY FORD,NYL,2001,F,Roller/Cutter,6.709092213698164,48.38194831620349,2.5
A'JA WILSON,LVA,2024,C,Perimeter-Oriented Big/Wing,6.129354260066004,0.2368484788655528,1307.2
SHERILL BAKER,DET,2009,G,Secondary Creator/Distributor,6.124546992784401,40.01398172765713,11.4
ELENA DELLE DONNE,WAS,2018,SG,Perimeter-Oriented Big/Wing,5.76772829528998,7.692413253739174,933.8
NNEKA OGWUMIKE,LAS,2016,F,Interior Primary Option,5.566941719557968,6.227483797101432,1042.8
ELENA DELLE DONNE,CHI,2015,SG,Perimeter-Oriented Big/Wing,5.424934524658584,8.511269238801889,1032.3
A'JA WILSON,LVA,2023,C,Perimeter-Oriented Big/Wing,5.383699070391331,6.608875468990872,1228.0
LINDSAY ALLEN,MIN,2022,G,Secondary Creator/Distributor,5.344015469780247,-1.0262540216793343,133.20000000000002
ELENA DELLE DONNE,CHI,2016,SG,Perimeter-Oriented Big/Wing,5.2965736279661435,5.395099896966881,929.6
LAUREN JACKSON,SEA,2006,PowerF,Perimeter-Oriented Big/Wing,5.290592456935783,11.600106486404991,852.0
LIZ CAMBAGE,DAL,2018,C,Perimeter-Oriented Big/Wing,5.278995785415376,4.022208256495201,944.0
JONQUEL JONES,CON,2021,C,Perimeter-Oriented Big/Wing,5.268748356719654,8.180234316862103,855.9
ALAINA COATES,ATL,2019,C,Roller/Cutter,5.248809493026455,0.0116834973103106,167.9
QUEEN EGBO,LVA,2024,PowerF,Roller/Cutter,5.137433483147024,-14.073305979008127,28.8
BREANNA STEWART,NYL,2023,F,Perimeter-Oriented Big/Wing,5.07048005108072,7.0576959913559065,1364.0
ELENA DELLE DONNE,WAS,2022,SG,Perimeter-Oriented Big/Wing,4.970690859768241,3.94769434276098,695.0
BREANNA STEWART,SEA,2022,F,Perimeter-Oriented Big/Wing,4.894922357310786,4.2156845864733805,1050.6
EMMA MEESSEMAN,WAS,2019,F,Perimeter-Oriented Big/Wing,4.855595575065045,6.593536764982893,542.8000000000001
STELLA JOHNSON,WAS,2020,G,Secondary Creator/Distributor,4.758191900354759,17.37729614756771,99.9
SUE BIRD,SEA,2018,G,Spot-up Shooter,4.740462640323475,8.777680460727154,824.6
CHRISTY SMITH,CHA,1999,G,Spot-up Shooter,4.69433887371132,2.181799594632094,19.2
JONQUEL JONES,CON,2018,C,Interior Primary Option,4.6582759476475015,2.5177934338233725,697.0
JACKIE YOUNG,LVA,2023,G,Primary On-Ball Creator,4.545881973379214,11.615645518713544,1260.0
DIANA TAURASI,PHO,2018,G,Primary On-Ball Creator,4.536567165507827,5.531506363682544,990.0
BECKY HAMMON,NYL,2003,G,Primary On-Ball Creator,4.469189457455725,10.48400911756811,255.2
SHERYL SWOOPES,HOU,2000,SG,Perimeter-Oriented Big/Wing,4.46720361020963,9.09570673195144,1091.2
CHELSEA GRAY,LVA,2023,G,Primary On-Ball Creator,4.428121496647994,3.4718727337023556,1288.0
JONQUEL JONES,CON,2019,C,Perimeter-Oriented Big/Wing,4.379699378714021,4.248064096899489,979.2
KARA LAWSON,CON,2012,G,Primary On-Ball Creator,4.312443066529524,7.452878299640848,1067.6
CANDACE PARKER,LAS,2015,PowerF,Perimeter-Oriented Big/Wing,4.273799516003375,10.514702108827343,550.4
BREANNA STEWART,SEA,2018,F,Perimeter-Oriented Big/Wing,4.214005896403764,4.8751073193595795,1074.4
STEFANIE DOLSON,CHI,2020,C,Secondary Creator/Distributor,4.1304278592497425,5.126466772823247,273.0
EMILY ENGSTLER,WAS,2024,F,Secondary Creator/Distributor,4.0851517965584465,-1.7412536682653557,464.0
QUACY BARNES,PHO,2002,C,Interior Primary Option,4.043689847203697,-35.816468749517426,13.4
ELENA DELLE DONNE,CHI,2014,SG,Perimeter-Oriented Big/Wing,4.035662104781368,4.519264219398039,408.0
MAYA MOORE,MIN,2012,F,Primary On-Ball Creator,4.017084076936934,9.81440245903698,1009.8
SEIMONE AUGUSTUS,MIN,2007,SG,Perimeter-Oriented Big/Wing,3.9870904125557756,1.9231267261539184,1094.8000000000002
VANESSA NYGAARD,CLE,1999,F,Spot-up Shooter,3.9756207156011976,3.1022244465903652,19.6
SHEY PEDDY,WAS,2019,G,Secondary Creator/Distributor,3.9330729728078317,1.4846593409461948,70.5
ELENA DELLE DONNE,WAS,2023,SG,Perimeter-Oriented Big/Wing,3.9323145364116128,0.7703463625349133,632.5
LAUREN JACKSON,SEA,2007,PowerF,Perimeter-Oriented Big/Wing,3.815838102525485,7.100463844902852,1019.9
SUE BIRD,SEA,2020,G,Spot-up Shooter,3.807266849414617,14.081415937605827,257.4
