,Player,Team,Archetype,year
4507,EZINNE KALU,ATL,Secondary Creator/Distributor,2024
4400,KELSEY PLUM,LVA,Primary On-Ball Creator,2024
4407,JACKIE YOUNG,LVA,Primary On-Ball Creator,2024
4406,EZI MAGBEGOR,SEA,Interior Primary Option,2024
4405,SABRINA IONESCU,NYL,Primary On-Ball Creator,2024
4404,NATASHA CLOUD,PHO,Secondary Creator/Distributor,2024
4403,MEGAN GUSTAFSON,LVA,Spot-up Shooter,2024
4402,LI YUERU,LAS,Roller/Cutter,2024
4401,KENNEDY BURKE,NYL,Perimeter-Oriented Big,2024
4399,BREANNA STEWART,NYL,Interior Primary Option,2024
4409,JEWELL LOYD,SEA,Primary On-Ball Creator,2024
4398,ARIKE OGUNBOWALE,DAL,Primary On-Ball Creator,2024
4397,A'JA WILSON,LVA,Interior Primary Option,2024
4396,TYASHA HARRIS,CON,Spot-up Shooter,2024
4395,TINA CHARLES,ATL,Interior Primary Option,2024
4394,TEAIRA MCCOWAN,DAL,Interior Primary Option,2024
4393,STEFANIE DOLSON,WAS,Spot-up Shooter,2024
4392,KIAH STOKES,LVA,Perimeter-Oriented Big,2024
4408,JADE MELBOURNE,WAS,Secondary Creator/Distributor,2024
4410,KAHLEAH COPPER,PHO,Primary On-Ball Creator,2024
4389,JORDAN HORSTON,SEA,Perimeter-Oriented Big,2024
4420,ISABELLE HARRISON,CHI,Interior Primary Option,2024
4427,MICHAELA ONYENWERE,CHI,Spot-up Shooter,2024
4426,LEXIE HULL,IND,Spot-up Shooter,2024
4425,KATE MARTIN,LVA,Spot-up Shooter,2024
4424,DORKA JUHÁSZ,MIN,Perimeter-Oriented Big,2024
4423,ANGEL REESE,CHI,Interior Primary Option,2024
4422,AALIYAH EDWARDS,WAS,Roller/Cutter,2024
4421,VICTORIA VIVIANS,SEA,Perimeter-Oriented Big,2024
4419,DIANA TAURASI,PHO,Primary On-Ball Creator,2024
4411,KATIE LOU SAMUELSON,IND,Spot-up Shooter,2024
4418,STEPHANIE TALBOT,LAS,Perimeter-Oriented Big,2024
4417,RAE BURRELL,LAS,Perimeter-Oriented Big,2024
4416,RACHEL BANHAM,CHI,Spot-up Shooter,2024
4415,OLIVIA NELSON-ODODA,CON,Roller/Cutter,2024
4414,NNEKA OGWUMIKE,SEA,Interior Primary Option,2024
4413,MONIQUE BILLINGS,PHO,Perimeter-Oriented Big,2024
4412,MERCEDES RUSSELL,SEA,Roller/Cutter,2024
4390,KALANI BROWN,DAL,Roller/Cutter,2024
4388,JONQUEL JONES,NYL,Perimeter-Oriented Big,2024
4429,CHENNEDY CARTER,CHI,Interior Primary Option,2024
4359,COURTNEY WILLIAMS,MIN,Primary On-Ball Creator,2024
4366,KELSEY MITCHELL,IND,Primary On-Ball Creator,2024
4365,KAYLA THORNTON,NYL,Spot-up Shooter,2024
4364,JULIE VANLOO,WAS,Secondary Creator/Distributor,2024
4363,JACY SHELDON,DAL,Spot-up Shooter,2024
4362,HALEY JONES,ATL,Perimeter-Oriented Big,2024
4361,DEARICA HAMBY,LAS,Interior Primary Option,2024
4360,DEWANNA BONNER,CON,Primary On-Ball Creator,2024
4358,CECILIA ZANDALASINI,MIN,Perimeter-Oriented Big,2024
4368,LEONIE FIEBICH,NYL,Spot-up Shooter,2024
4357,CAITLIN CLARK,IND,Primary On-Ball Creator,2024
4356,BRIONNA JONES,CON,Interior Primary Option,2024
4355,ARIEL ATKINS,WAS,Primary On-Ball Creator,2024
4354,ALYSSA THOMAS,CON,Roller/Cutter,2024
4353,ALYSHA CLARK,LVA,Spot-up Shooter,2024
4352,ALLISHA GRAY,ATL,Primary On-Ball Creator,2024
4351,ALIYAH BOSTON,IND,Interior Primary Option,2024
4367,KIA NURSE,LAS,Spot-up Shooter,2024
4369,LINDSAY ALLEN,CHI,Secondary Creator/Distributor,2024
4387,ERICA WHEELER,IND,Secondary Creator/Distributor,2024
4379,SEVGI UZUN,DAL,Secondary Creator/Distributor,2024
4386,DIJONAI CARRINGTON,CON,Interior Primary Option,2024
4385,DANA EVANS,CHI,Secondary Creator/Distributor,2024
4384,BRIDGET CARLETON,MIN,Spot-up Shooter,2024
4383,ALANNA SMITH,MIN,Perimeter-Oriented Big,2024
4382,SOPHIE CUNNINGHAM,PHO,Spot-up Shooter,2024
4381,SKYLAR DIGGINS,SEA,Primary On-Ball Creator,2024
4380,SHATORI WALKER-KIMBROUGH,WAS,Spot-up Shooter,2024
4378,SAMI WHITCOMB,SEA,Spot-up Shooter,2024
4370,MARINA MABREY,CON,Primary On-Ball Creator,2024
4377,RICKEA JACKSON,LAS,Perimeter-Oriented Big,2024
4376,NIA COFFEY,ATL,Perimeter-Oriented Big,2024
4375,NAZ HILLMON,ATL,Perimeter-Oriented Big,2024
4374,NATISHA HIEDEMAN,MIN,Secondary Creator/Distributor,2024
4373,NATASHA MACK,PHO,Roller/Cutter,2024
4372,NALYSSA SMITH,IND,Interior Primary Option,2024
4371,MYISHA HINES-ALLEN,MIN,Perimeter-Oriented Big,2024
4428,NAPHEESA COLLIER,MIN,Interior Primary Option,2024
4391,KAYLA MCBRIDE,MIN,Spot-up Shooter,2024
4430,CRYSTAL DANGERFIELD,LAS,Secondary Creator/Distributor,2024
4479,OLIVIA ÉPOUPA,MIN,Roller/Cutter,2024
4486,GABBY WILLIAMS,SEA,Secondary Creator/Distributor,2024
4485,KIANA WILLIAMS,SEA,Spot-up Shooter,2024
4484,JAELYN BROWN,DAL,Perimeter-Oriented Big,2024
4483,SATOU SABALLY,DAL,Primary On-Ball Creator,2024
4482,CAMERON BRINK,LAS,Perimeter-Oriented Big,2024
4481,NIKA MÜHL,SEA,Secondary Creator/Distributor,2024
4480,LEXIE BROWN,LAS,Secondary Creator/Distributor,2024
4478,LAETICIA AMIHERE,ATL,Roller/Cutter,2024
4488,GRACE BERGER,IND,Perimeter-Oriented Big,2024
4477,AERIAL POWERS,ATL,Primary On-Ball Creator,2024
4476,REBECCA ALLEN,PHO,Spot-up Shooter,2024
4475,LIZ DIXON,PHO,Roller/Cutter,2024
4474,BRITTNEY SYKES,WAS,Primary On-Ball Creator,2024
4473,MARQUESHA DAVIS,NYL,Secondary Creator/Distributor,2024
4472,JORDIN CANADA,ATL,Secondary Creator/Distributor,2024
4471,DIDI RICHARDS,WAS,Roller/Cutter,2024
4487,SHAKIRA AUSTIN,WAS,Interior Primary Option,2024
4489,MORGAN BERTSCH,DAL,Perimeter-Oriented Big,2024
4469,AZURÁ STEVENS,LAS,Perimeter-Oriented Big,2024
4499,EMMA CANNON,LVA,Roller/Cutter,2024
4431,TIFFANY HAYES,LVA,Perimeter-Oriented Big,2024
4505,TAYLOR SOULE,MIN,Roller/Cutter,2024
4504,JESSIKA CARTER,LVA,Roller/Cutter,2024
4503,JAKIA BROWN-TURNER,WAS,Roller/Cutter,2024
4502,CHARISMA OSBORNE,PHO,Secondary Creator/Distributor,2024
4501,KAELA DAVIS,CHI,Perimeter-Oriented Big,2024
4500,KYSRE GONDREZICK,CHI,Spot-up Shooter,2024
4498,KIERSTAN BELL,LVA,Perimeter-Oriented Big,2024
4490,JAYLYN SHERROD,NYL,Secondary Creator/Distributor,2024
4497,DESTANNI HENDERSON,ATL,Secondary Creator/Distributor,2024
4496,AMY ATWELL,PHO,Spot-up Shooter,2024
4495,DULCY FANKAM MENDJIADEU,SEA,Roller/Cutter,2024
4494,QUEEN EGBO,LVA,Roller/Cutter,2024
4493,CAITLIN BICKLE,CON,Spot-up Shooter,2024
4492,VICTARIA SAXTON,IND,Perimeter-Oriented Big,2024
4491,ELIZABETH WILLIAMS,CHI,Roller/Cutter,2024
4470,DAMIRIS DANTAS,IND,Perimeter-Oriented Big,2024
4506,DYAISHA FAIR,LVA,Secondary Creator/Distributor,2024
4468,LAYSHIA CLARENDON,LAS,Secondary Creator/Distributor,2024
4440,RHYNE HOWARD,ATL,Primary On-Ball Creator,2024
4447,CHELSEA GRAY,LVA,Secondary Creator/Distributor,2024
4446,BRIANNA TURNER,CHI,Roller/Cutter,2024
4445,LORELA CUBAJ,ATL,Roller/Cutter,2024
4444,BETNIJAH LANEY-HAMILTON,NYL,Spot-up Shooter,2024
4443,ZIA COOKE,LAS,Secondary Creator/Distributor,2024
4442,SUG SUTTON,WAS,Secondary Creator/Distributor,2024
4441,KARLIE SAMUELSON,WAS,Spot-up Shooter,2024
4439,BRITTNEY GRINER,PHO,Interior Primary Option,2024
4449,LOU LOPEZ SÉNÉCHAL,DAL,Spot-up Shooter,2024
4438,VERONICA BURTON,CON,Secondary Creator/Distributor,2024
4437,SYDNEY COLSON,LVA,Secondary Creator/Distributor,2024
4436,MIKIAH HERBERT HARRIGAN,PHO,Spot-up Shooter,2024
4435,COURTNEY VANDERSLOOT,NYL,Secondary Creator/Distributor,2024
4434,KAMILLA CARDOSO,CHI,Roller/Cutter,2024
4433,EMILY ENGSTLER,WAS,Perimeter-Oriented Big,2024
4467,DIAMOND MILLER,MIN,Perimeter-Oriented Big,2024
4448,JOYNER HOLMES,SEA,Perimeter-Oriented Big,2024
4432,DIAMOND DESHIELDS,CHI,Secondary Creator/Distributor,2024
4450,MADDY SIEGRIST,DAL,Perimeter-Oriented Big,2024
4459,ODYSSEY SIMS,LAS,Secondary Creator/Distributor,2024
4451,NATASHA HOWARD,DAL,Interior Primary Option,2024
4466,TEMI FÁGBÉNLÉ,IND,Roller/Cutter,2024
4465,STEPHANIE SOARES,DAL,Perimeter-Oriented Big,2024
4464,CELESTE TAYLOR,PHO,Perimeter-Oriented Big,2024
4463,ASTOU NDOUR-FALL,CON,Perimeter-Oriented Big,2024
4461,MORIAH JEFFERSON,CHI,Secondary Creator/Distributor,2024
4460,TIFFANY MITCHELL,CON,Perimeter-Oriented Big,2024
4462,ALISSA PILI,MIN,Perimeter-Oriented Big,2024
4458,MAYA CALDWELL,ATL,Spot-up Shooter,2024
4457,CHEYENNE PARKER-TYUS,ATL,Interior Primary Option,2024
4456,NYARA SABALLY,NYL,Roller/Cutter,2024
4455,KRISTY WALLACE,IND,Spot-up Shooter,2024
4454,IVANA DOJKIĆ,NYL,Spot-up Shooter,2024
4453,AARI MCDONALD,LAS,Secondary Creator/Distributor,2024
4452,SIKA KONÉ,WAS,Interior Primary Option,2024
4244,ALLISHA GRAY,ATL,Primary On-Ball Creator,2023
4251,SATOU SABALLY,DAL,Primary On-Ball Creator,2023
4250,KAYLA MCBRIDE,MIN,Primary On-Ball Creator,2023
4249,KAHLEAH COPPER,CHI,Primary On-Ball Creator,2023
4248,JORDIN CANADA,LAS,Secondary Creator/Distributor,2023
4247,JEWELL LOYD,SEA,Primary On-Ball Creator,2023
4246,DORKA JUHÁSZ,MIN,Perimeter-Oriented Big,2023
4245,BRIDGET CARLETON,MIN,Spot-up Shooter,2023
4236,MONIQUE BILLINGS,ATL,Roller/Cutter,2023
4243,ALANNA SMITH,CHI,Perimeter-Oriented Big,2023
4242,ZIA COOKE,LAS,Secondary Creator/Distributor,2023
4241,RHYNE HOWARD,ATL,Primary On-Ball Creator,2023
4240,OLIVIA NELSON-ODODA,CON,Roller/Cutter,2023
4239,NIKOLINA MILIĆ,MIN,Interior Primary Option,2023
4238,NATASHA HOWARD,DAL,Interior Primary Option,2023
4237,MORIAH JEFFERSON,PHO,Primary On-Ball Creator,2023
4252,VICTORIA VIVIANS,IND,Spot-up Shooter,2023
4271,DULCY FANKAM MENDJIADEU,SEA,Roller/Cutter,2023
4261,GRACE BERGER,IND,Secondary Creator/Distributor,2023
4253,AWAK KUIER,DAL,Perimeter-Oriented Big,2023
4264,NNEKA OGWUMIKE,LAS,Interior Primary Option,2023
4234,MADDY SIEGRIST,DAL,Perimeter-Oriented Big,2023
4270,AMANDA ZAHUI B,IND,Perimeter-Oriented Big,2023
4269,MYISHA HINES-ALLEN,WAS,Perimeter-Oriented Big,2023
4268,MARINE JOHANNÈS,NYL,Spot-up Shooter,2023
4267,CRYSTAL DANGERFIELD,DAL,Secondary Creator/Distributor,2023
4266,AZURÁ STEVENS,LAS,Perimeter-Oriented Big,2023
4265,SABRINA IONESCU,NYL,Primary On-Ball Creator,2023
4263,KIERSTAN BELL,LVA,Spot-up Shooter,2023
4254,KRISTY WALLACE,IND,Spot-up Shooter,2023
4262,JORDAN HORSTON,SEA,Perimeter-Oriented Big,2023
4260,ASIA (AD) DURR,ATL,Secondary Creator/Distributor,2023
4259,ROBYN PARKS,CHI,Spot-up Shooter,2023
4258,QUEEN EGBO,WAS,Roller/Cutter,2023
4257,NATASHA CLOUD,WAS,Secondary Creator/Distributor,2023
4256,NAPHEESA COLLIER,MIN,Interior Primary Option,2023
4255,MERCEDES RUSSELL,SEA,Roller/Cutter,2023
4235,MARINA MABREY,CHI,Primary On-Ball Creator,2023
4214,KADI SISSOKO,PHO,Perimeter-Oriented Big,2023
