player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year
Lindsay Allen,CHI,G,40,950,28,5.6,12,0.466,0.8,2.6,0.292,4.8,9.4,0.514,2.3,2.8,0.808,0.7,4.3,8.5,1.7,0.4,3.4,3.6,14.2,2024
Rebecca Allen,PHO,F-G,18,447,18,6.1,14.5,0.417,2.9,8.1,0.352,3.2,6.4,0.5,0.2,0.3,0.667,1.5,8.1,2.3,1.9,1.4,2.1,4,15.2,2024
Laeticia Amihere,ATL,F,16,83,0,4.4,16.3,0.269,0,0,,4.4,16.3,0.269,3.1,10.6,0.294,7.5,16.9,1.9,1.3,1.9,5,4.4,11.9,2024
Ariel Atkins,WAS,G,40,1196,40,9.2,21,0.437,3.3,9.4,0.357,5.8,11.7,0.5,3.6,4.2,0.848,1.5,5.7,5.2,2.5,0.7,3.9,4.7,25.3,2024
Amy Atwell,PHO,F,6,59,0,3.5,13,0.267,2.6,11.3,0.231,0.9,1.7,0.5,3.5,4.3,0.8,2.6,5.2,5.2,0,0.9,1.7,2.6,13,2024
Shakira Austin,WAS,C-F,12,239,11,11,25.6,0.43,0.2,0.8,0.25,10.8,24.8,0.436,7.6,11.4,0.667,4.4,17.4,2.3,3.2,2.3,6.1,6.4,29.9,2024
Kierstan Bell,LVA,F,6,43,0,7,18.7,0.375,4.7,9.3,0.5,2.3,9.3,0.25,1.2,2.3,0.5,1.2,7,5.8,0,0,1.2,5.8,19.8,2024
Grace Berger,IND,G,11,102,0,4.9,12.3,0.4,1,2.5,0.4,3.9,9.8,0.4,4.4,6.9,0.643,2,7.4,3.4,2.5,0,4.9,5.9,15.2,2024
Caitlin Bickle,CON,F,8,15,0,0,10.5,0,0,10.5,0,0,0,,0,0,,0,0,0,0,0,0,3.5,0,2024
DeWanna Bonner,CON,F-G,40,1271,39,8.8,21.2,0.414,2.4,8.2,0.294,6.4,13.1,0.489,4.9,5.9,0.832,0.9,9.9,3.3,2,1.1,2.3,2.9,24.9,2024
Aliyah Boston,IND,F-C,40,1236,40,9.6,18.1,0.529,0.3,1.1,0.269,9.3,17,0.545,3.3,4.5,0.736,4.5,14.4,5.1,1.4,2,3.2,5.3,22.7,2024
Cameron Brink,LAS,F,15,330,15,6.3,15.8,0.398,1.5,4.7,0.323,4.7,11,0.431,3.2,3.8,0.84,2.8,12.2,3.8,2.4,5.2,5.2,9.2,17.3,2024
Jaelyn Brown,DAL,G-F,14,141,1,5.3,11,0.484,2.1,4.3,0.5,3.2,6.7,0.474,0.4,1.1,0.333,2.5,7.4,2.1,1.4,1.4,4.3,5.7,13.1,2024
Jakia Brown-Turner,WAS,G,2,8,0,0,6.3,0,0,0,,0,6.3,0,12.7,12.7,1,0,6.3,0,6.3,0,0,0,12.7,2024
Kalani Brown,DAL,C,38,512,2,9,15.4,0.582,0,0.3,0,9,15.1,0.594,3.8,5.8,0.661,4.2,11.6,4,0.6,2.1,4.5,6.1,21.8,2024
Lexie Brown,LAS,G,16,379,8,5.6,17.4,0.321,2.8,9.2,0.304,2.8,8.3,0.339,3.2,3.6,0.889,0.1,4.9,7.1,2.3,0.3,4.1,2.9,17.2,2024
Kennedy Burke,NYL,G-F,38,459,3,6,14.7,0.409,1.7,6.5,0.259,4.4,8.3,0.527,0.9,1.3,0.667,1.6,6.5,3.7,2.7,1.2,3,4.1,14.6,2024
Rae Burrell,LAS,G-F,37,579,7,5.1,14.2,0.362,2.1,6.3,0.333,3.1,7.9,0.385,6.8,8.7,0.78,1.8,5.9,3.7,2.5,1,3.2,5.1,19.2,2024
Veronica Burton,CON,G,31,392,1,3.5,9.7,0.361,1.7,5,0.351,1.7,4.7,0.371,4.2,5,0.838,1.7,5.9,7.8,1.9,0.9,2,4.3,12.9,2024
Maya Caldwell,ATL,G,25,404,6,6.7,16.1,0.416,1.9,6.4,0.3,4.8,9.6,0.493,1.5,1.9,0.8,2.6,5.8,3.5,1.9,0.6,3,3.9,16.8,2024
Jordin Canada,ATL,G,20,624,18,5.7,14.7,0.39,1.3,4.7,0.281,4.4,10,0.442,4.7,6.1,0.781,1,5.7,9.6,2.7,0.4,3.5,4.3,17.5,2024
Emma Cannon,LVA,F,5,9,0,11.1,16.7,0.667,0,5.6,0,11.1,11.1,1,0,0,,0,11.1,5.6,0,0,5.6,0,22.3,2024
Kamilla Cardoso,CHI,C,32,876,29,7.4,14.1,0.521,0,0,,7.4,14.1,0.521,3.6,4.9,0.726,5.6,14.8,3.2,1,2.7,2.9,5.9,18.3,2024
Bridget Carleton,MIN,F,39,1166,36,5.6,12.5,0.444,4,9.1,0.444,1.5,3.5,0.443,1.3,1.7,0.789,1.6,6.5,3.8,1.7,0.5,1.8,3.5,16.5,2024
DiJonai Carrington,CON,G-F,39,1156,39,7.9,19.6,0.403,1.2,4.7,0.25,6.7,14.8,0.452,5.7,7.2,0.79,2.4,8.9,2.8,2.8,0.8,3.4,4.6,22.6,2024
Chennedy Carter,CHI,G,33,858,20,14.2,29.2,0.487,0.5,1.8,0.29,13.7,27.3,0.5,5.5,7.5,0.73,1.3,7,6.1,2.1,0.4,3.3,6.3,34.4,2024
Jessika Carter,LVA,C,2,4,0,0,12.5,0,0,0,,0,12.5,0,0,25.1,0,0,0,0,0,0,0,0,0,2024
Tina Charles,ATL,C,39,1160,39,10.9,23.8,0.456,0.5,1.9,0.262,10.4,22,0.473,3.8,4.8,0.785,4.3,16.7,4,1.6,0.9,2.7,4.3,26,2024
Layshia Clarendon,LAS,G,21,335,12,4.8,11.3,0.427,1.1,3,0.35,3.8,8.3,0.455,3,3.5,0.87,0.9,5.7,8.1,2.3,0.2,3.8,6.6,13.7,2024
Alysha Clark,LVA,F,40,972,18,4.4,9.9,0.443,2.4,6.5,0.373,2,3.4,0.576,1.2,1.4,0.821,1.1,7.5,3.6,1.7,0.6,2.8,5.5,12.4,2024
Caitlin Clark,IND,G,40,1416,40,8.6,20.5,0.417,4.3,12.6,0.344,4.2,8,0.533,5.8,6.4,0.906,0.5,8,11.9,1.9,1,7.9,3.9,27.2,2024
Natasha Cloud,PHO,G,38,1265,38,6.2,15.5,0.397,1.8,5.8,0.308,4.4,9.7,0.45,3.6,4.4,0.826,0.7,6.2,10.6,2.2,0.9,4.7,4.1,17.7,2024
Nia Coffey,ATL,F,40,532,11,4.7,14.4,0.324,1.8,6.4,0.273,2.9,8,0.366,1.6,2,0.762,1.9,9.3,4.5,1.2,2.5,3.9,4.7,12.7,2024
