"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Courtney Williams","ATL",32,1101,-109,100.36815462494248,105.72483841181902,473,0.26666666666666666,0.4117647058823529,0.37037037037037035,0.2777777777777778,17,15,2,10,2,3,0,2,7,0.4117647058823529,34,7,27,0
"Betnijah Laney","NYL",32,1069,-180,98.43534284399448,106.37614678899082,475,0.17567567567567569,0.36585365853658536,0.14285714285714285,0.19696969696969696,3,2,1,1,1,0,0,1,1,0.3333333333333333,21,4,17,0
"Kelsey Mitchell","IND",32,1059,-196,99.12408759124087,108.45070422535211,492,0.28888888888888886,0.38461538461538464,0.5,0.3333333333333333,7,7,0,4,2,1,0,0,3,0.42857142857142855,34,15,19,0
"Skylar Diggins-Smith","PHO",32,1040,159,108.60696517412934,101.04842735896155,509,0.2625,0.3,0.2982456140350877,0.14285714285714285,25,24,1,15,6,3,0,1,12,0.48,34,17,17,0
"DeWanna Bonner","CON",32,1022,279,108.26359832635983,93.4759916492693,409,0.35294117647058826,0.38461538461538464,0.375,0.2857142857142857,23,23,0,19,4,0,0,0,17,0.7391304347826086,40,20,20,0
"A'ja Wilson","LVA",32,1021,184,107.05996131528046,98.30508474576271,492,0,0.21568627450980393,0.2631578947368421,0.125,40,39,1,16,17,6,0,1,24,0.6,28,7,21,0
"Jackie Young","LVA",32,1018,309,111.02588686481305,96.4440172993753,368,0.4666666666666667,0.3333333333333333,0.23333333333333334,0.18181818181818182,11,11,0,5,5,1,0,0,4,0.36363636363636365,36,11,25,0
"Kayla McBride","MIN",32,1010,122,104.59132189707366,98.4359233097881,399,0.2708333333333333,0.4,0.2692307692307692,0.13333333333333333,5,5,0,1,4,0,0,0,2,0.4,26,9,17,0
"Arike Ogunbowale","DAL",32,1003,-50,103.85010266940452,106.58097686375322,512,0.2619047619047619,0.49122807017543857,0.373134328358209,0.3,0,0,0,0,0,0,0,0,0,0,37,6,31,0
"Napheesa Collier","MIN",29,1003,153,106.9140823589222,99.43906170321264,424,0.27586206896551724,0.42857142857142855,0.32,0.2962962962962963,37,36,1,19,14,3,0,1,25,0.6756756756756757,38,14,24,0
"Brianna Turner","PHO",32,994,149,107.7324973876698,99.6873371547681,207,0,0.3898305084745763,0.16666666666666666,0.5,42,41,1,18,20,3,0,1,20,0.47619047619047616,24,9,15,0
"Brittney Griner","PHO",30,983,101,107.94491525423729,102.8131634819533,511,0.4,0.2,0.30303030303030304,0.19047619047619047,58,57,1,31,20,6,0,1,40,0.6896551724137931,12,1,11,0
"Brionna Jones","CON",32,980,295,108.21917808219177,91.80327868852459,352,0.6666666666666666,0.4647887323943662,0.4423076923076923,0.15789473684210525,17,17,0,11,5,1,0,0,12,0.7058823529411765,44,13,31,0
"Erica Wheeler","LAS",32,977,-146,93.34406870638755,101.34408602150536,396,0.16981132075471697,0.2545454545454545,0.3018867924528302,0.10714285714285714,8,8,0,4,4,0,0,0,2,0.25,43,21,22,0
"Kahleah Copper","CHI",32,976,1,102.94715447154472,102.53164556962025,412,0.13559322033898305,0.3815789473684211,0.4473684210526316,0.16666666666666666,8,7,1,2,5,0,0,1,3,0.375,28,11,17,0
"Courtney Vandersloot","CHI",32,967,68,102.49745158002038,99.53893442622952,320,0.25806451612903225,0.2857142857142857,0.4,0.35294117647058826,12,10,2,4,5,1,0,2,7,0.5833333333333334,54,10,44,0
"Jewell Loyd","SEA",31,962,157,107.06493506493507,99.37369519832986,514,0.19,0.16216216216216217,0.3090909090909091,0.109375,5,5,0,5,0,0,0,0,5,1,46,12,34,0
"Brittney Sykes","LAS",32,944,-31,94.7973713033954,96.28415300546447,271,0.20689655172413793,0.2857142857142857,0.22641509433962265,0.14893617021276595,15,13,2,8,5,0,1,1,9,0.6,58,17,41,0
"Sylvia Fowles","MIN",31,934,97,104.2437431991295,98.75135722041259,394,0,0.30434782608695654,0.12244897959183673,0.14285714285714285,56,56,0,36,20,0,0,0,32,0.5714285714285714,56,11,45,0
"Breanna Stewart","SEA",28,934,211,109.11542610571738,97.78737182946573,508,0.23655913978494625,0.3684210526315789,0.24705882352941178,0.23076923076923078,49,46,3,23,18,5,0,3,32,0.6530612244897959,33,7,26,0
"Chelsea Gray","LVA",32,926,181,108.57142857142858,99.04711487559555,327,0.175,0.3333333333333333,0.3275862068965517,0.25,9,9,0,1,7,1,0,0,4,0.4444444444444444,37,12,25,0
"Ariel Atkins","WAS",30,908,-46,102.8052805280528,105.91814159292036,434,0.2702702702702703,0.18181818181818182,0.29850746268656714,0.1282051282051282,16,15,1,2,12,1,0,1,7,0.4375,48,25,23,0
"Tina Charles","WAS",27,890,-59,102.12527964205817,106.07765897580191,554,0.20689655172413793,0.43478260869565216,0.29523809523809524,0.11538461538461539,23,23,0,9,13,1,0,0,15,0.6521739130434783,25,8,17,0
