"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Napheesa Collier","MIN",22,752,107,111.38377641445126,104.37457279562543,279,0.13793103448275862,0.3076923076923077,0.29508196721311475,0.3157894736842105,28,26,2,8,17,1,0,2,14,0.5,40,14,26,0
"Arike Ogunbowale","DAL",22,748,-26,106.69371196754564,109.48805460750853,458,0.25555555555555554,0.25,0.35064935064935066,0.32786885245901637,0,0,0,0,0,0,0,0,0,0,34,16,18,0
"Betnijah Laney","ATL",22,733,-91,100.26936026936028,106.8289384719405,326,0.21428571428571427,0.3076923076923077,0.26,0.27906976744186046,2,2,0,1,1,0,0,0,1,0.5,35,12,23,0
"DeWanna Bonner","CON",22,732,61,103.2684283727399,98.27467218771567,371,0.25675675675675674,0.34615384615384615,0.5,0.45714285714285713,12,12,0,3,8,1,0,0,6,0.5,37,17,20,0
"Julie Allemand","IND",22,716,-176,103.12056737588652,116.17961511047756,170,0.3170731707317073,0,0.375,0.4166666666666667,9,7,2,3,4,0,0,2,2,0.2222222222222222,25,10,15,0
"Kelsey Mitchell","IND",22,706,-141,104.71092077087795,114.61154668567356,345,0.2716049382716049,0.625,0.35714285714285715,0.21739130434782608,2,2,0,1,0,1,0,0,1,0.5,14,8,6,0
"A'ja Wilson","LVA",22,697,178,110.51156271899089,98.17543859649123,388,0,0.47619047619047616,0.2,0.25,44,43,1,10,32,1,0,1,22,0.5,27,9,18,0
"Courtney Vandersloot","CHI",22,693,138,112.65017667844522,103.7776193870278,273,0.24390243902439024,0.3125,0.2571428571428571,0.23076923076923078,8,8,0,2,5,1,0,0,4,0.5,26,11,15,0
"Alyssa Thomas","CON",21,689,57,103.07467057101024,98.75730994152048,284,0,0.27586206896551724,0.20689655172413793,0,6,6,0,2,4,0,0,0,2,0.3333333333333333,42,26,16,0
"Kahleah Copper","CHI",22,688,69,109.07791279485346,105.04686373467916,293,0.175,0.5909090909090909,0.2,0.1875,5,5,0,1,4,0,0,0,4,0.8,21,8,13,0
"Ariel Atkins","WAS",22,682,36,105.39730134932533,102.77569392348087,305,0.16666666666666666,0.5,0.2903225806451613,0.1,6,6,0,2,4,0,0,0,3,0.5,39,21,18,0
"Skylar Diggins-Smith","PHO",22,675,-41,104.28779069767442,107.65864332603938,346,0.36764705882352944,0.3181818181818182,0.2222222222222222,0.25,11,10,1,6,4,0,0,1,6,0.5454545454545454,20,11,9,0
"Chelsea Gray","LAS",22,674,98,106.9506726457399,100.37650602409639,269,0.225,0.42857142857142855,0.3170731707317073,0.13793103448275862,2,2,0,0,1,1,0,0,1,0.5,34,17,17,0
"Leilani Mitchell","WAS",22,673,-10,103.49809885931559,104.73644003055767,192,0.2033898305084746,0.2727272727272727,0.38461538461538464,0.26666666666666666,1,1,0,0,1,0,0,0,0,0,17,13,4,0
"Candice Dupree","IND",22,665,-160,104.14110429447854,116.14384085692426,246,0.14285714285714285,0.18181818181818182,0.25,0.32727272727272727,9,9,0,2,5,2,0,0,6,0.6666666666666666,16,6,10,0
"Candace Parker","LAS",22,660,103,105.30705079605762,97.94364051789793,289,0.2692307692307692,0.5909090909090909,0.18181818181818182,0.23076923076923078,27,24,3,2,19,3,0,3,16,0.5925925925925926,26,14,12,0
"Myisha Hines-Allen","WAS",22,659,48,107.28269381362568,103.6050156739812,328,0.18181818181818182,0.3333333333333333,0.25862068965517243,0.3157894736842105,5,4,1,0,4,0,1,0,3,0.6,32,11,21,0
"Elizabeth Williams","ATL",22,642,-95,101.07444359171144,108.19923371647509,178,0,0.475,0.32608695652173914,0,30,28,2,9,19,0,0,2,19,0.6333333333333333,17,5,12,0
"Emma Meesseman","WAS",20,634,-10,102.82485875706215,104.22077922077922,243,0.125,0.4666666666666667,0.23333333333333334,0.22727272727272727,16,16,0,7,9,0,0,0,8,0.5,24,9,15,0
"Alysha Clark","SEA",22,633,261,113.469068128426,92.8125,177,0.40625,0.375,0.16666666666666666,0.16666666666666666,11,11,0,0,10,1,0,0,3,0.2727272727272727,33,10,23,0
"Allie Quigley","CHI",22,631,38,108.51735015772871,105.68720379146919,308,0.25609756097560976,0.3333333333333333,0.3125,0.19444444444444445,6,6,0,2,4,0,0,0,3,0.5,14,6,8,0
"Crystal Dangerfield","MIN",21,629,62,108.44155844155844,103.15789473684211,305,0.359375,0.5789473684210527,0.5,0.2857142857142857,1,1,0,0,1,0,0,0,0,0,18,8,10,0
"Dearica Hamby","LVA",22,622,129,108.70607028753994,97.93322734499205,252,0.16666666666666666,0.36,0.3684210526315789,0.2,4,4,0,1,3,0,0,0,2,0.5,37,13,24,0
"Brianna Turner","PHO",22,614,29,106.3055780113177,103.62610797743756,130,0,0.20833333333333334,0.1,0,43,42,1,13,29,0,0,1,21,0.4883720930232558,24,10,14,0
"Jewell Loyd","SEA",22,613,183,108.95883777239709,94.18886198547214,315,0.21666666666666667,0.6363636363636364,0.38461538461538464,0.20689655172413793,6,6,0,1,5,0,0,0,3,0.5,32,8,24,0
"Courtney Williams","ATL",20,610,-107,100.73952341824157,109.80230642504118,252,0.5,0.2222222222222222,0.2962962962962963,0.35802469135802467,2,2,0,1,1,0,0,0,0,0,13,5,8,0
"Breanna Stewart","SEA",20,607,202,111.76948051948051,94.98787388843978,349,0.1724137931034483,0.5333333333333333,0.36,0.24324324324324326,26,24,2,6,15,3,1,1,10,0.38461538461538464,33,15,18,0
"Kiah Stokes","NYL",22,601,-185,88.36633663366337,104.14593698175787,114,0.171875,0.13333333333333333,1,0,26,26,0,7,16,3,0,0,17,0.6538461538461539,11,2,9,0
"Monique Billings","ATL",22,596,-78,101.2636899747262,106.93400167084377,142,0,0.20833333333333334,0.20754716981132076,0.24,18,18,0,2,16,0,0,0,10,0.5555555555555556,24,5,19,0
