,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1243,Natalie Achonwa,IND,F,34,623,17,8.2,14.8,0.557,0.0,0.0,,8.2,14.8,0.557,3.8,5.0,0.763,3.1,10.7,2.1,1.2,1.4,2.6,6.4,20.3,2017,17.0,1.19412
1247,Kayla Alexander,SAS,C,34,522,10,9.6,16.5,0.582,0.0,0.0,,9.6,16.5,0.582,2.0,2.2,0.909,4.5,10.7,1.7,1.5,1.7,3.2,6.8,21.2,2017,17.5,1.21143
1251,Seimone Augustus*,MIN,G-F,32,886,32,8.6,17.1,0.502,1.1,2.5,0.432,7.5,14.5,0.514,1.9,2.2,0.868,0.8,5.4,7.3,1.0,0.2,2.6,1.9,20.1,2017,18.1,1.1105
1253,Alana Beard,LAS,G-F,34,1048,34,4.7,9.5,0.497,0.3,0.9,0.316,4.4,8.6,0.517,1.8,2.3,0.804,1.0,5.6,3.7,3.5,0.8,2.2,4.6,11.6,2017,10.5,1.10476
1254,Alex Bentley,CON,G,31,735,9,6.7,17.6,0.38,1.5,5.3,0.278,5.2,12.3,0.424,2.5,3.2,0.809,0.3,3.0,6.0,1.7,0.3,1.8,4.6,17.4,2017,19.0,0.91579
1255,Sue Bird,SEA,G,30,901,30,6.7,15.8,0.427,3.4,8.6,0.393,3.3,7.1,0.468,1.4,1.8,0.774,0.4,3.5,11.4,2.1,0.2,3.6,2.2,18.2,2017,16.6,1.09639
1257,Jessica Breland,CHI,F,34,834,33,8.3,17.4,0.476,0.5,1.2,0.381,7.8,16.1,0.483,2.2,2.8,0.787,3.2,12.8,3.2,1.1,3.5,3.7,4.3,19.2,2017,18.6,1.03226
1258,Rebekkah Brunson,MIN,F,30,807,30,6.9,15.4,0.449,1.5,4.2,0.348,5.5,11.2,0.486,4.1,5.7,0.711,3.2,12.8,2.8,2.1,0.8,3.0,4.4,19.4,2017,17.9,1.0838
1260,Emma Cannon,PHO,F,34,440,0,6.5,13.2,0.491,0.0,0.2,0.0,6.5,12.9,0.5,4.3,7.3,0.587,5.0,14.1,1.2,0.6,0.6,3.6,8.3,17.2,2017,16.4,1.04878
1261,Essence Carson,LAS,G,24,464,14,4.7,11.6,0.404,1.0,4.0,0.25,3.7,7.6,0.485,2.3,2.7,0.875,1.2,4.5,3.2,1.7,0.9,2.0,3.2,12.7,2017,12.8,0.99219
