Team,games,teamFieldGoals,teamFGA,teamFGperc,teamThreePointers,teamThreePA,teamThreePperc,teamTwoPointers,teamTwoPA,teamTwoPperc,teamFreeThrows,teamFreeTA,teamFreeTperc,teamOffRbs,teamDefRbs,teamTotRbs,teamAssists,teamSteals,teamBlocks,teamTurnovers,teamFouls,year 
New York Liberty*,40,39.4,88,0.448,13,37.1,0.349,26.4,50.8,0.52,17.9,22,0.814,10.8,36,46.8,29.2,10.1,5.7,16.2,19.7,2024
Las Vegas Aces*,40,38.6,85.2,0.454,11.8,33.1,0.355,26.9,52.1,0.516,19,22.9,0.828,7,35.7,42.6,25.6,8.8,6.2,13.5,20.7,2024
Indiana Fever*,40,39,85.6,0.456,11.5,32.3,0.356,27.5,53.3,0.517,16.6,21.4,0.775,10.3,33.4,43.8,25.5,7.3,5.4,17.7,22.7,2024
Connecticut Sun*,40,38.3,86.4,0.444,7.7,23.6,0.327,30.6,62.8,0.487,20.6,27.4,0.753,10.9,32.9,43.8,26.1,10.7,4.8,15.8,21.1,2024
Minnesota Lynx*,40,38.4,85.9,0.448,12.1,31.9,0.38,26.3,54,0.488,15.6,19.7,0.79,9.5,34.2,43.7,29.4,10.9,5.4,17.1,20.9,2024
Dallas Wings,40,39.2,87.9,0.446,7.7,23.7,0.326,31.4,64.2,0.49,18.1,23.1,0.786,13,30,43,25.3,8.8,4.9,18.3,22.9,2024
Seattle Storm*,40,38.9,89.2,0.435,7.6,26.3,0.288,31.3,63,0.497,18.9,22.5,0.84,10.8,32.5,43.4,25.8,11.6,6.4,15.5,20.7,2024
Phoenix Mercury*,40,37,84.4,0.439,10.8,33.3,0.326,26.2,51.1,0.512,18.7,23.4,0.799,8.6,32.6,41.1,25.3,8.4,6,16.9,21.5,2024
Washington Mystics,40,36.5,84.3,0.433,12.2,33.4,0.366,24.3,50.8,0.477,14.5,18.9,0.767,8.9,31.1,40,27.1,9.1,4.3,19,23.2,2024
Chicago Sky,40,38,90,0.422,6.2,19.1,0.323,31.8,70.9,0.449,16.9,22.7,0.742,13.9,33,46.8,24.3,9,4.8,16.7,24.3,2024
Atlanta Dream*,40,35.7,87.5,0.408,7.7,24.9,0.308,28,62.6,0.448,19.8,25.7,0.771,11.9,34.5,46.4,23.6,9.3,4.8,16,21.7,2024
Los Angeles Sparks,40,35.4,83.5,0.423,9.1,28.4,0.32,26.3,55.1,0.476,18.8,24.6,0.765,9.2,31.9,41.1,24.8,9.2,4.1,18.8,22.5,2024
Las Vegas Aces*,40,41.5,85.5,0.486,11.5,30.8,0.372,30.1,54.7,0.549,20.2,24.1,0.84,7.6,35.4,43.1,26.8,9.9,5.9,13.8,19.7,2023
New York Liberty*,40,40.3,87.6,0.46,13.9,37.2,0.374,26.4,50.5,0.523,17.3,20.9,0.829,10.9,36.6,47.5,30.2,8.3,5.6,16.9,20.1,2023
Dallas Wings*,40,40.3,91.1,0.443,8.4,26.6,0.317,31.9,64.6,0.494,20.4,25.3,0.806,14.7,33.5,48.2,25.3,9.5,5.3,16.3,23.5,2023
