Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"L. Jackson, S. Bird, S. Cash, T. Wright, C. Little",SEA,390,106.8,91.6
"T. Smith, D. Taurasi, L. Willingham, T. Johnson, C. Pondexter",PHO,367,113.9,99.9
"S. Christon, J. McCarville, L. Moore, C. Kraayeveld, E. Carson",NYL,315,93.8,93.7
"T. Bevilaqua, T. Sutton-Brown, T. Catchings, K. Douglas, E. Hoffman",IND,314,97.7,82.4
"D. Canty, B. Wyckoff, J. Perkins, C. Dupree, S. Fowles",CHI,202,99.7,87.0
"C. Melvin, A. Beard, M. Currie, L. Harding, C. Langhorne",WAS,200,96.3,94.5
"K. Smith, T. McWilliams-Franklin, D. Nolan, C. Ford, A. Hornbuckle",DET,178,93.9,94.2
"T. Bevilaqua, T. Catchings, K. Douglas, E. Hoffman, J. Moore",IND,173,101.2,89.2
"K. Miller, R. Hodges, C. Wiggins, N. Anosike, C. Houston",MIN,168,92.9,102.9
"L. Whalen, T. White, K. Gardin, S. Gruda, A. Jekabsone-Zogota",CON,164,97.4,98.3
"R. Hodges, C. Wiggins, N. Anosike, C. Houston, R. Montgomery",MIN,161,97.1,104.5
"I. Castro Marques, E. de Souza, S. Lyttle, A. McCoughtry, S. Lehning",ATL,152,105.1,92.7
"C. Holdsclaw, I. Castro Marques, E. de Souza, S. Lyttle, S. Lehning",ATL,151,100.7,87.5
"V. Johnson, B. Hammon, H. Darling, R. Riley, S. Young-Malcolm",SAN,135,94.8,89.2
"J. Burse, S. Bird, S. Cash, T. Wright, C. Little",SEA,134,91.8,88.6
"S. Christon, J. McCarville, L. Moore, T. Jackson-Jones, E. Carson",NYL,121,92.4,98.3
"V. Johnson, B. Hammon, A. Wauters, E. Lawson-Wade, S. Young-Malcolm",SAN,113,104.2,100.5
"T. Penicheiro, D. Walker, N. Powell, R. Brunson, S. Dorrell",SAC,112,87.8,106.8
"A. Jones, L. Whalen, E. Phillips, S. Gruda, A. Holt",CON,103,105.5,82.5
"L. Leslie, T. Thompson, K. Harrower, D. Milton-Jones, C. Parker",LAS,101,88.0,81.0
"A. Jones, L. Whalen, T. White, S. Gruda, A. Jekabsone-Zogota",CON,99,104.1,101.0
"C. Melvin, N. Sanford, A. Beard, M. Currie, L. Harding",WAS,99,81.7,91.1
"C. Melvin, A. Beard, L. Harding, C. Langhorne, M. Coleman",WAS,96,78.9,85.2
"A. Jones, L. Whalen, E. Phillips, K. Gardin, C. Black",CON,95,98.3,94.5
"T. Smith, D. Taurasi, T. Johnson, C. Pondexter, D. Bonner",PHO,95,98.6,98.6
"L. Leslie, T. Thompson, D. Milton-Jones, N. Quinn, C. Parker",LAS,94,98.9,97.2
"C. Holdsclaw, N. Teasley, I. Castro Marques, E. de Souza, S. Lyttle",ATL,85,95.9,91.7
"N. Sanford, A. Beard, M. Currie, L. Harding, C. Langhorne",WAS,84,82.4,93.9
"S. Johnson, L. Jackson, S. Bird, S. Cash, C. Little",SEA,82,93.7,90.6
"J. Burse, L. Jackson, S. Bird, S. Cash, T. Wright",SEA,78,111.0,88.1
"T. Penicheiro, D. Walker, H. Maiga-Ba, N. Powell, R. Brunson",SAC,78,112.2,100.6
"T. Thompson, D. Milton-Jones, B. Lennox, N. Quinn, C. Parker",LAS,78,105.7,87.4
"N. Sanford, A. Beard, L. Harding, C. Langhorne, M. Coleman",WAS,76,88.5,82.4
"K. Miller, S. Augustus, C. Wiggins, N. Anosike, C. Houston",MIN,75,118.5,98.7
"K. Smith, T. McWilliams-Franklin, D. Nolan, C. Ford, S. Zellous",DET,75,96.1,89.2
"T. Sutton-Brown, T. Catchings, K. Douglas, E. Hoffman, B. January",IND,75,100.0,72.9
"T. Catchings, K. Douglas, E. Hoffman, J. Moore, B. January",IND,72,106.8,78.1
"C. Melvin, M. Currie, L. Harding, M. Ajavon, C. Langhorne",WAS,70,85.7,89.3
"T. McWilliams-Franklin, D. Nolan, C. Ford, A. Hornbuckle, S. Zellous",DET,69,88.7,89.4
"D. Canty, B. Wyckoff, J. Perkins, C. Nan, C. Dupree",CHI,66,81.5,109.0
"T. Penicheiro, D. Walker, N. Powell, S. Dorrell, C. Paris",SAC,65,87.7,106.3
"S. Christon, J. McCarville, L. Moore, A. Battle, C. Kraayeveld",NYL,64,96.0,80.7
"K. Smith, T. McWilliams-Franklin, D. Nolan, K. Braxton, S. Zellous",DET,63,106.8,85.1
"D. Canty, J. Perkins, S. Ely-Gash, C. Dupree, S. Fowles",CHI,61,101.8,89.0
"N. Sanford, A. Beard, L. Harding, M. Ajavon, C. Langhorne",WAS,61,92.4,98.4
"D. Canty, E. Thorn, J. Perkins, C. Dupree, S. Fowles",CHI,60,112.8,102.5
"A. Jones, L. Whalen, E. Phillips, K. Gardin, S. Gruda",CON,58,82.1,110.7
"R. Hodges, T. Humphrey, C. Wiggins, N. Anosike, R. Montgomery",MIN,58,85.1,90.3
"T. McWilliams-Franklin, D. Nolan, N. Teasley, C. Ford, A. Hornbuckle",DET,58,86.0,76.1
"C. Melvin, A. Beard, L. Harding, M. Ajavon, C. Langhorne",WAS,57,98.4,96.7
"V. Johnson, B. Hammon, E. Perperoglou, B. Snell, S. Young-Malcolm",SAN,57,100.9,106.3
"T. Thompson, K. Harrower, D. Milton-Jones, B. Lennox, C. Parker",LAS,54,101.0,82.4
"T. Whitmore, A. Jones, L. Whalen, E. Phillips, K. Gardin",CON,52,71.4,79.0
"N. Sanford, L. Harding, M. Ajavon, C. Langhorne, M. Coleman",WAS,51,99.1,72.7
"T. Thompson, K. Harrower, D. Milton-Jones, N. Quinn, C. Parker",LAS,49,90.3,79.6
"C. Melvin, L. Harding, M. Ajavon, C. Langhorne, M. Coleman",WAS,48,93.4,83.3
"T. McWilliams-Franklin, D. Nolan, K. Braxton, A. Hornbuckle, S. Zellous",DET,47,111.5,115.5
"T. Smith, K. Mazzante, L. Willingham, T. Johnson, C. Pondexter",PHO,46,131.5,112.0
"C. Holdsclaw, C. Miller, I. Castro Marques, E. de Souza, S. Lyttle",ATL,45,88.0,83.0
"K. Smith, T. McWilliams-Franklin, D. Nolan, K. Braxton, A. Hornbuckle",DET,45,106.8,92.5
"I. Castro Marques, E. de Souza, S. Lyttle, I. Latta, A. McCoughtry",ATL,44,106.1,100.0
"V. Johnson, B. Hammon, A. Wauters, R. Riley, S. Young-Malcolm",SAN,44,80.5,111.6
"K. Smith, T. McWilliams-Franklin, D. Nolan, O. Sanni, S. Zellous",DET,43,84.7,109.0
"D. Canty, J. Perkins, S. Ely-Gash, C. Dupree, T. Young",CHI,41,81.7,91.5
"K. Smith, T. McWilliams-Franklin, A. DeForge, D. Nolan, C. Ford",DET,41,92.2,106.6
"L. Leslie, T. Thompson, B. Lennox, N. Quinn, C. Parker",LAS,41,102.5,108.1
"T. McWilliams-Franklin, D. Nolan, N. Teasley, C. Ford, S. Zellous",DET,40,98.8,95.2
"S. Johnson, J. Burse, S. Bird, S. Cash, C. Little",SEA,39,83.6,81.6
"T. Penicheiro, D. Walker, N. Powell, S. Dorrell, L. Harper",SAC,39,75.6,82.9
"A. Jones, L. Whalen, T. White, E. Phillips, S. Gruda",CON,38,110.4,103.8
"L. Leslie, T. Thompson, K. Harrower, D. Milton-Jones, B. Lennox",LAS,38,71.2,98.7
"S. Christon, J. McCarville, L. Moore, C. Kraayeveld, S. Spencer",NYL,38,94.7,79.2
"D. Canty, J. Perkins, C. Dupree, A. Herrington, S. Fowles",CHI,37,78.3,115.6
"T. Smith, D. Taurasi, C. Pondexter, K. Swanier, D. Bonner",PHO,37,108.2,108.4
"K. Smith, T. McWilliams-Franklin, D. Nolan, A. Hornbuckle, O. Sanni",DET,36,90.5,94.8
"L. Leslie, T. Thompson, D. Milton-Jones, B. Lennox, N. Quinn",LAS,36,76.0,124.4
"S. Johnson, S. Cash, A. Robinson, T. Wright, C. Little",SEA,36,91.7,90.3
"T. Thompson, D. Milton-Jones, M. Ferdinand-Harris, N. Quinn, C. Parker",LAS,36,102.7,88.0
"T. Whitmore, K. Brown, E. Phillips, A. Holt, C. Black",CON,36,71.1,104.0
"A. Battle, T. Jackson-Jones, S. Spencer, L. Mitchell, K. Vaughn",NYL,35,98.5,80.6
"K. Miller, R. Hodges, T. Humphrey, C. Wiggins, C. Houston",MIN,35,86.4,90.0
"V. Johnson, B. Hammon, R. Riley, B. Snell, S. Young-Malcolm",SAN,33,94.1,104.7
"H. Darling, E. Perperoglou, B. Snell, S. Zolman, M. Frazee",SAN,32,88.5,91.4
"R. Hodges, N. Anosike, C. Houston, R. McCants, R. Montgomery",MIN,32,78.5,116.7
"S. Christon, J. McCarville, C. Kraayeveld, E. Carson, L. Mitchell",NYL,32,109.4,80.3
"S. Christon, L. Moore, C. Kraayeveld, E. Carson, K. Vaughn",NYL,32,74.2,101.6
"C. Holdsclaw, M. Snow, S. Lyttle, I. Latta, A. McCoughtry",ATL,31,115.2,85.9
"D. Walker, K. Lawson, N. Powell, S. Dorrell, L. Harper",SAC,31,61.3,85.5
"J. McCarville, A. Battle, C. Kraayeveld, E. Carson, L. Mitchell",NYL,31,82.3,106.5
"S. Christon, L. Moore, C. Kraayeveld, T. Jackson-Jones, E. Carson",NYL,31,107.9,95.1
"S. Johnson, J. Burse, S. Cash, T. Wright, C. Little",SEA,31,60.9,96.8
"T. Bevilaqua, T. Sutton-Brown, T. Catchings, K. Douglas, B. January",IND,31,100.0,87.3
"T. Smith, K. Mazzante, D. Taurasi, T. Johnson, D. Bonner",PHO,31,109.0,109.9
"B. Hammon, A. Wauters, E. Perperoglou, E. Lawson-Wade, S. Young-Malcolm",SAN,30,100.0,92.2
"B. Hammon, H. Darling, R. Riley, B. Snell, S. Young-Malcolm",SAN,30,95.1,84.7
"K. Smith, D. Nolan, C. Ford, K. Braxton, S. Zellous",DET,30,98.2,96.6
"S. Christon, L. Moore, A. Battle, C. Kraayeveld, K. Vaughn",NYL,30,90.8,112.1
"S. Johnson, L. Jackson, S. Bird, T. Wright, C. Little",SEA,30,91.2,105.1
"D. Walker, H. Maiga-Ba, N. Powell, R. Brunson, K. Haynie",SAC,29,113.3,88.3
"N. Sanford, M. Currie, L. Harding, M. Ajavon, C. Langhorne",WAS,29,107.7,89.2
"T. McWilliams-Franklin, D. Nolan, N. Teasley, K. Braxton, S. Zellous",DET,29,125.0,113.2
"T. Smith, D. Taurasi, L. Willingham, C. Pondexter, K. Swanier",PHO,29,118.8,101.4
"T. Smith, P. Taylor, D. Taurasi, C. Pondexter, D. Bonner",PHO,29,114.9,101.5
"B. Hammon, R. Riley, B. Snell, E. Lawson-Wade, S. Young-Malcolm",SAN,28,108.3,91.8
"E. Thorn, J. Perkins, C. Dupree, S. Fowles, K. Toliver",CHI,28,111.5,96.3
"T. Smith, K. Mazzante, T. Johnson, C. Pondexter, D. Bonner",PHO,28,100.0,103.3
"T. Thompson, D. Milton-Jones, M. Ferdinand-Harris, C. Parker, S. Bobbitt",LAS,28,62.0,92.5
"V. Johnson, B. Hammon, H. Darling, E. Perperoglou, S. Young-Malcolm",SAN,28,82.5,96.6
"D. Canty, J. Perkins, S. Ely-Gash, C. Dupree, M. Bass",CHI,27,90.0,113.7
"L. Leslie, T. Thompson, K. Harrower, D. Milton-Jones, N. Quinn",LAS,27,112.0,112.0
"L. Leslie, T. Thompson, M. Ferdinand-Harris, N. Quinn, C. Parker",LAS,27,103.9,92.0
"P. Taylor, N. Ohlde, D. Taurasi, K. Swanier, D. Bonner",PHO,27,84.4,84.6
"S. Augustus, C. Wiggins, N. Anosike, C. Houston, R. Montgomery",MIN,27,123.0,93.2
"T. Bevilaqua, T. Sutton-Brown, T. Catchings, E. Hoffman, B. January",IND,27,72.7,100.0
"T. Thompson, D. Milton-Jones, N. Quinn, C. Parker, S. Bobbitt",LAS,27,105.6,87.0
"V. Johnson, B. Hammon, R. Riley, E. Lawson-Wade, S. Young-Malcolm",SAN,27,100.0,105.4
"K. Miller, R. Hodges, N. Anosike, C. Houston, R. McCants",MIN,26,120.4,94.4
