Name,Team,Games Played,Minutes,Offensive Rating,Defensive Rating,AST%,Assist/Turnover,Assist Ratio,OREB%,DREB%,REB%,Turnover Ratio,EFG%,TS%,USG%,Total Minutes
ADIA BARNES,SEA,34,11.9,96.8,88.5,14.5,1.29,22.3,8.8,7.7,8.2,17.3,32.6,40.5,12.5,404.6
ADRIENNE GOODSON,SAN,34,31.4,93.1,99.6,11.9,0.90,12.2,9.7,15.7,12.7,13.6,45.4,51.4,20.0,1067.6
ALANA BEARD,WAS,34,30.2,96.9,96.8,18.0,1.14,14.7,2.8,12.2,7.3,12.9,44.6,50.0,24.6,1026.8
ANDREA STINSON,CHA,34,22.9,92.4,95.9,14.2,1.20,16.3,4.2,13.6,9.3,13.7,44.2,48.3,17.6,778.5999999999999
ANNA DEFORGE,PHO,34,33.9,97.8,95.0,20.3,1.57,17.4,2.3,10.1,6.2,11.1,50.5,55.3,22.5,1152.6
ASJHA JONES,CON,34,20.6,96.7,91.1,11.4,0.74,11.0,8.1,10.6,9.3,15.0,40.6,45.2,21.9,700.4000000000001
BECKY HAMMON,NYL,34,33.3,97.2,97.2,27.6,1.27,22.2,1.7,9.5,5.8,17.5,51.3,56.8,23.3,1132.1999999999998
CHARLOTTE SMITH,CHA,34,28.9,94.0,95.9,9.4,0.73,11.9,6.5,10.3,8.5,16.4,55.1,58.8,16.3,982.5999999999999
CHASITY MELVIN,WAS,34,24.4,96.2,97.9,8.8,0.71,9.4,8.0,9.2,8.6,13.2,40.6,48.1,21.0,829.5999999999999
DAWN STALEY,CHA,34,33.6,95.8,98.2,33.0,2.31,32.1,1.3,4.6,3.1,13.9,48.0,53.1,17.1,1142.4
DEMYA WALKER,SAC,34,25.9,99.4,92.2,18.5,1.00,17.8,9.1,9.7,9.4,17.8,41.6,45.5,22.0,880.5999999999999
DEANNA JACKSON,IND,34,23.6,94.1,95.0,13.6,1.02,13.7,7.3,7.9,7.5,13.4,36.7,41.7,19.9,802.4000000000001
DEANNA NOLAN,DET,34,33.5,96.2,93.6,19.4,1.24,16.2,2.6,9.5,6.1,13.0,42.0,47.4,23.0,1139.0
DIANA TAURASI,PHO,34,33.3,97.8,94.9,27.4,1.47,16.9,2.9,12.5,7.7,11.5,47.7,51.6,29.0,1132.1999999999998
ELENA BARANOVA,NYL,34,30.9,97.6,95.5,13.2,0.84,13.7,3.7,21.2,13.0,16.4,54.8,58.2,20.0,1050.6
FELICIA RAGLAND,HOU,34,15.2,94.4,96.3,14.2,1.19,19.4,4.2,10.3,7.3,16.3,44.6,46.9,15.2,516.8
HAMCHETOU MAIGA-BA,SAC,34,14.2,89.0,90.1,11.4,0.51,11.5,7.7,9.3,8.4,22.5,47.0,48.4,19.0,482.79999999999995
KAMILA VODICHKOVA,SEA,34,25.6,99.4,93.9,11.4,0.75,13.1,8.4,13.1,10.8,17.4,39.2,47.3,19.9,870.4000000000001
