Player,Team,pct_FGA_2PT,pct_FGA_3PT,pct_PTS_MR,pct_PTS_FB,pct_PTS_FT,pct_PTS_IP,pct_AST_2PT,pct_UAST_2PT,pct_AST_3PT,pct_UAST_3PT
ALIYAH BOSTON,IND,94.2,5.8,3.8,6.3,14.4,75.7,63.8,36.2,85.7,14.3
ALLISHA GRAY,ATL,60.3,39.7,33.3,15.9,23.0,34.1,58.1,41.9,94.2,5.8
ALYSHA CLARK,LVA,34.4,65.6,58.8,15.4,9.5,28.3,86.8,13.2,100,0.0
ALYSSA THOMAS,CON,98.8,1.2,0.0,21.7,21.5,74.7,60.2,39.8,0.0,0.0
ARIEL ATKINS,WAS,55.5,44.5,39.7,7.2,14.1,26.1,60.1,39.9,94.9,5.1
BRIONNA JONES,CON,96.6,3.4,1.1,3.6,19.5,68.5,74.8,25.2,100,0.0
CAITLIN CLARK,IND,38.8,61.2,47.6,11.4,21.2,27.3,14.2,85.8,51.6,48.4
CECILIA ZANDALASINI,MIN,52.7,47.3,50.8,9.8,9.9,17.5,66.7,33.3,100,0.0
COURTNEY WILLIAMS,MIN,84.2,15.8,15.5,17.3,7.6,19.3,45.0,55.0,95.7,4.3
DEWANNA BONNER,CON,61.4,38.6,29.0,12.0,19.8,36.3,64.9,35.1,89.7,10.3
DEARICA HAMBY,LAS,83.2,16.8,13.0,14.9,18.1,68.0,71.4,28.6,100,0.0
HALEY JONES,ATL,80.8,19.2,11.6,11.0,21.3,63.2,59.6,40.4,100,0.0
JACY SHELDON,DAL,53.8,46.2,41.5,13.4,11.5,37.8,64.7,35.3,86.7,13.3
JULIE VANLOO,WAS,27.5,72.5,73.5,6.8,3.4,17.7,38.2,61.8,86.1,13.9
KAYLA THORNTON,NYL,37.9,62.1,61.1,11.3,9.9,27.1,43.8,56.3,100,0.0
KELSEY MITCHELL,IND,55.0,45.0,42.6,16.0,12.3,34.4,68.8,31.2,82.6,17.4
KIA NURSE,LAS,39.2,60.8,52.5,15.5,15.2,25.1,69.4,30.6,90.6,9.4
LEONIE FIEBICH,NYL,37.4,62.6,61.8,21.3,6.7,28.5,66.7,33.3,100,0.0
LINDSAY ALLEN,CHI,78.5,21.5,15.9,11.4,15.9,56.1,33.3,66.7,85.7,14.3
MARINA MABREY,CON,49.8,50.2,51.1,13.2,8.6,24.0,61.2,38.8,65.3,34.7
MYISHA HINES-ALLEN,MIN,79.5,20.5,17.3,9.6,17.5,62.0,73.5,26.5,100,0.0
NALYSSA SMITH,IND,86.3,13.7,10.0,11.8,17.0,67.3,72.7,27.3,100,0.0
NATASHA MACK,PHO,97.6,2.4,0.0,3.9,7.2,81.0,87.3,12.7,0.0,0.0
NATISHA HIEDEMAN,MIN,57.3,42.7,35.6,22.2,12.9,48.5,48.0,52.0,91.3,8.7
NAZ HILLMON,ATL,98.2,1.8,1.3,12.2,21.0,69.9,86.5,13.5,100,0.0
NIA COFFEY,ATL,55.4,44.6,41.5,5.4,12.3,40.0,56.7,43.3,94.4,5.6
RICKEA JACKSON,LAS,71.8,28.2,24.1,11.0,17.2,50.1,63.7,36.3,97.7,2.3
SAMI WHITCOMB,SEA,22.6,77.4,70.5,22.0,4.5,24.0,44.0,56.0,89.4,10.6
SEVGI UZUN,DAL,57.8,42.2,34.3,12.6,10.8,43.4,33.3,66.7,75.0,25.0
SHATORI WALKER-KIMBROUGH,WAS,58.1,41.9,35.1,24.1,18.1,29.4,58.6,41.4,94.3,5.7
SKYLAR DIGGINS,SEA,73.7,26.3,19.3,21.0,21.5,49.9,44.7,55.3,71.8,28.2
SOPHIE CUNNINGHAM,PHO,25.0,75.0,61.1,12.9,17.9,18.0,71.4,28.6,89.7,10.3
ALANNA SMITH,MIN,62.2,37.8,35.7,19.0,13.7,47.6,83.0,17.0,97.9,2.1
BRIDGET CARLETON,MIN,27.8,72.2,73.2,12.6,8.0,13.4,62.9,37.1,98.9,1.1
DANA EVANS,CHI,56.7,43.3,44.1,16.5,17.2,27.2,35.2,64.8,70.7,29.3
DIJONAI CARRINGTON,CON,75.8,24.2,15.7,26.4,25.0,57.7,60.5,39.5,92.3,7.7
ERICA WHEELER,IND,63.1,36.9,31.7,7.7,7.7,46.5,46.5,53.5,93.3,6.7
JONQUEL JONES,NYL,60.3,39.7,32.0,10.3,14.8,48.5,78.2,21.8,96.6,3.4
JORDAN HORSTON,SEA,76.9,23.1,14.7,16.9,11.6,70.7,68.4,31.6,100,0.0
KALANI BROWN,DAL,98.1,1.9,0.0,7.6,17.5,69.1,75.0,25.0,0.0,0.0
KAYLA MCBRIDE,MIN,37.7,62.3,53.8,11.4,22.7,15.7,75.4,24.6,98.1,1.9
KIAH STOKES,LVA,35.5,64.5,49.1,3.6,10.9,36.4,100,0.0,100,0.0
STEFANIE DOLSON,WAS,44.6,55.4,58.2,8.6,8.9,25.9,86.9,13.1,100,0.0
TEAIRA MCCOWAN,DAL,98.8,1.2,0.7,3.5,19.4,77.7,70.5,29.5,100,0.0
TINA CHARLES,ATL,92.1,7.9,5.7,5.3,14.4,57.8,71.1,28.9,100,0.0
TYASHA HARRIS,CON,55.4,44.6,44.0,9.8,14.4,25.4,37.6,62.4,90.0,10.0
A'JA WILSON,LVA,91.9,8.1,5.6,10.5,22.7,50.9,69.9,30.1,100,0.0
ARIKE OGUNBOWALE,DAL,55.6,44.4,39.8,17.9,20.7,18.9,35.9,64.1,64.3,35.7
BREANNA STEWART,NYL,73.0,27.0,17.8,15.4,25.8,50.2,74.9,25.1,87.0,13.0
KELSEY PLUM,LVA,45.5,54.5,48.7,13.1,15.3,32.8,37.7,62.3,81.8,18.2
KENNEDY BURKE,NYL,56.1,43.9,34.4,13.0,6.1,56.5,84.6,15.4,100,0.0
LI YUERU,LAS,89.8,10.2,6.2,2.1,27.5,54.9,71.9,28.1,100,0.0
MEGAN GUSTAFSON,LVA,46.2,53.8,46.8,9.2,9.2,44.0,80.6,19.4,100,0.0
NATASHA CLOUD,PHO,62.7,37.3,30.1,6.6,20.6,36.5,27.8,72.2,63.6,36.4
SABRINA IONESCU,NYL,47.0,53.0,46.5,12.4,15.3,30.1,48.5,51.5,79.4,20.6
EZI MAGBEGOR,SEA,84.2,15.8,9.0,9.2,17.6,67.4,78.6,21.4,100,0.0
JACKIE YOUNG,LVA,55.5,44.5,36.0,18.0,19.1,36.0,47.3,52.7,71.4,28.6
JADE MELBOURNE,WAS,66.3,33.7,30.2,18.1,17.5,47.2,34.6,65.4,95.0,5.0
JEWELL LOYD,SEA,65.4,34.6,24.3,10.7,30.4,23.9,40.6,59.4,76.3,23.7
KAHLEAH COPPER,PHO,65.0,35.0,26.5,14.6,21.3,41.2,44.6,55.4,94.2,5.8
KATIE LOU SAMUELSON,IND,31.5,68.5,62.3,9.4,15.1,20.1,94.4,5.6,100,0.0
MERCEDES RUSSELL,SEA,100,0.0,0.0,3.4,14.5,70.3,88.7,11.3,0.0,0.0
MONIQUE BILLINGS,PHO,93.9,6.1,3.3,14.2,20.8,65.7,76.0,24.0,100,0.0
NNEKA OGWUMIKE,SEA,85.0,15.0,14.5,9.9,13.8,58.5,72.5,27.5,93.3,6.7
OLIVIA NELSON-ODODA,CON,100,0.0,0.0,6.4,21.6,73.6,85.7,14.3,0.0,0.0
RACHEL BANHAM,CHI,29.7,70.3,74.3,5.7,7.6,8.6,84.2,15.8,90.4,9.6
RAE BURRELL,LAS,55.8,44.2,32.7,10.9,35.5,30.0,54.3,45.7,95.8,4.2
STEPHANIE TALBOT,LAS,59.7,40.3,29.8,9.9,15.2,48.9,77.8,22.2,84.6,15.4
DIANA TAURASI,PHO,40.0,60.0,48.0,8.9,20.0,22.3,62.8,37.2,84.9,15.1
ISABELLE HARRISON,CHI,92.4,7.6,3.8,5.1,17.6,59.0,71.7,28.3,100,0.0
VICTORIA VIVIANS,SEA,43.9,56.1,60.0,17.3,5.5,23.6,57.9,42.1,100,0.0
AALIYAH EDWARDS,WAS,96.7,3.3,0.0,6.2,20.2,69.0,78.6,21.4,0.0,0.0
ANGEL REESE,CHI,96.2,3.8,1.9,10.8,28.4,63.6,62.7,37.3,66.7,33.3
DORKA JUHÁSZ,MIN,76.4,23.6,20.4,9.3,8.0,63.0,81.0,19.0,100,0.0
KATE MARTIN,LVA,29.5,70.5,75.9,18.4,12.6,11.5,40.0,60.0,100,0.0
LEXIE HULL,IND,48.5,51.5,53.2,12.4,17.8,25.8,66.7,33.3,97.0,3.0
MICHAELA ONYENWERE,CHI,67.9,32.1,33.2,12.8,11.0,46.9,71.4,28.6,100,0.0
NAPHEESA COLLIER,MIN,81.7,18.3,13.4,10.4,18.3,49.9,73.4,26.6,96.8,3.2
CHENNEDY CARTER,CHI,93.7,6.3,4.7,21.3,15.9,58.9,53.3,46.7,88.9,11.1
CRYSTAL DANGERFIELD,LAS,52.7,47.3,48.1,15.1,14.2,22.6,20.0,80.0,88.2,11.8
TIFFANY HAYES,LVA,62.7,37.3,31.6,12.5,19.2,48.6,51.9,48.1,78.8,21.2
DIAMOND DESHIELDS,CHI,67.7,32.3,18.9,28.0,15.4,50.3,63.8,36.2,88.9,11.1
EMILY ENGSTLER,WAS,63.0,37.0,41.1,10.7,9.2,45.7,69.4,30.6,100,0.0
KAMILLA CARDOSO,CHI,100,0.0,0.0,6.7,19.5,76.7,76.2,23.8,0.0,0.0
COURTNEY VANDERSLOOT,NYL,63.2,36.8,27.4,16.2,8.6,53.8,55.6,44.4,94.4,5.6
MIKIAH HERBERT HARRIGAN,PHO,38.4,61.6,52.0,0.0,11.3,26.5,88.9,11.1,100,0.0
SYDNEY COLSON,LVA,42.2,57.8,55.3,0.0,10.5,31.6,30.8,69.2,64.3,35.7
VERONICA BURTON,CON,48.6,51.4,40.6,8.3,32.3,18.8,30.8,69.2,100,0.0
BRITTNEY GRINER,PHO,95.2,4.8,5.1,1.1,16.2,64.8,79.0,21.0,88.9,11.1
RHYNE HOWARD,ATL,46.0,54.0,46.2,13.5,20.3,20.8,31.0,69.0,85.0,15.0
KARLIE SAMUELSON,WAS,36.3,63.7,60.5,5.3,14.8,16.5,70.0,30.0,98.0,2.0
SUG SUTTON,WAS,48.7,51.3,44.8,11.9,13.4,26.9,28.6,71.4,70.0,30.0
ZIA COOKE,LAS,67.0,33.0,32.0,12.6,19.5,36.9,44.0,56.0,72.7,27.3
BETNIJAH LANEY-HAMILTON,NYL,61.2,38.8,37.4,19.5,14.6,39.5,53.2,46.8,100,0.0
LORELA CUBAJ,ATL,100,0.0,0.0,0.0,9.1,54.5,66.7,33.3,0.0,0.0
BRIANNA TURNER,CHI,100,0.0,0.0,12.1,3.0,84.8,87.5,12.5,0.0,0.0
CHELSEA GRAY,LVA,62.6,37.4,33.5,8.6,16.7,28.3,29.3,70.7,76.9,23.1
JOYNER HOLMES,SEA,60.3,39.7,22.8,13.9,8.8,65.8,77.8,22.2,100,0.0
LOU LOPEZ SÉNÉCHAL,DAL,55.9,44.1,36.0,8.0,8.0,16.0,71.4,28.6,100,0.0
MADDY SIEGRIST,DAL,82.4,17.6,11.8,17.6,12.9,69.8,70.8,29.2,100,0.0
NATASHA HOWARD,DAL,86.6,13.4,7.0,12.2,18.7,63.3,71.6,28.4,100,0.0
SIKA KONÉ,WAS,91.7,8.3,11.2,6.5,29.0,54.2,81.3,18.8,100,0.0
AARI MCDONALD,LAS,52.4,47.6,38.5,15.5,19.0,40.7,31.3,68.8,79.3,20.7
IVANA DOJKIĆ,NYL,43.2,56.8,55.2,21.8,24.1,11.5,55.6,44.4,75.0,25.0
KRISTY WALLACE,IND,50.4,49.6,41.5,17.9,9.7,32.5,70.0,30.0,94.1,5.9
NYARA SABALLY,NYL,97.7,2.3,0.0,6.3,21.9,76.6,72.0,28.0,0.0,0.0
CHEYENNE PARKER-TYUS,ATL,92.5,7.5,3.9,7.8,26.8,57.1,82.5,17.5,100,0.0
MAYA CALDWELL,ATL,60.0,40.0,34.4,9.9,9.1,36.6,48.6,51.4,86.7,13.3
ODYSSEY SIMS,LAS,76.0,24.0,19.9,17.2,15.9,55.0,27.8,72.2,85.0,15.0
TIFFANY MITCHELL,CON,78.0,22.0,15.3,20.3,30.5,42.4,62.5,37.5,100,0.0
MORIAH JEFFERSON,CHI,54.8,45.2,38.7,6.5,29.0,25.8,20.0,80.0,100,0.0
ALISSA PILI,MIN,40.0,60.0,50.9,11.3,11.4,34.0,70.0,30.0,100,0.0
ASTOU NDOUR-FALL,CON,61.5,38.5,24.0,0.0,20.0,40.0,71.4,28.6,100,0.0
CELESTE TAYLOR,PHO,51.6,48.4,31.0,6.9,17.3,37.9,66.7,33.3,100,0.0
STEPHANIE SOARES,DAL,64.7,35.3,25.0,8.3,8.3,66.7,50.0,50.0,100,0.0
TEMI FÁGBÉNLÉ,IND,89.5,10.5,4.3,16.4,15.7,71.4,69.6,30.4,50.0,50.0
DIAMOND MILLER,MIN,62.3,37.7,24.6,21.3,22.9,49.2,75.0,25.0,60.0,40.0
LAYSHIA CLARENDON,LAS,73.3,26.7,23.1,12.1,22.0,52.7,56.0,44.0,100,0.0
AZURÁ STEVENS,LAS,55.1,44.9,43.8,9.4,11.4,40.6,67.4,32.6,100,0.0
DAMIRIS DANTAS,IND,55.4,44.6,43.8,0.0,9.0,31.5,81.0,19.0,100,0.0
DIDI RICHARDS,WAS,92.0,8.0,0.0,8.7,13.0,78.3,85.0,15.0,0.0,0.0
JORDIN CANADA,ATL,67.8,32.2,22.7,13.3,27.1,41.7,13.2,86.8,68.8,31.3
MARQUESHA DAVIS,NYL,95.5,4.5,12.5,16.7,20.8,25.0,62.5,37.5,0.0,100
BRITTNEY SYKES,WAS,70.5,29.5,21.8,15.0,19.1,50.9,26.2,73.8,100,0.0
LIZ DIXON,PHO,100,0.0,0.0,6.7,26.7,60.0,90.9,9.1,0.0,0.0
REBECCA ALLEN,PHO,44.4,55.6,56.4,10.5,1.5,33.1,50.0,50.0,92.0,8.0
AERIAL POWERS,ATL,73.9,26.1,28.8,10.3,23.3,24.7,45.7,54.3,85.7,14.3
LAETICIA AMIHERE,ATL,100,0.0,0.0,0.0,26.3,73.7,71.4,28.6,0.0,0.0
