,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
0,A'JA WILSON,LVA,27,3.1,4.4,71.0,3.3,6.6,49.4,1.8,3.3,53.4,0.0,0.0,100,0.0,0.0,0.0,0.2,0.7,29.6,2023
1,AARI MCDONALD,ATL,25,1.2,1.9,64.4,0.4,0.9,42.9,0.1,0.8,15.0,0.1,0.2,25.0,0.0,0.1,0.0,1.0,3.0,33.3,2023
2,ABBY MEYERS,WAS,24,0.3,0.3,100,0.1,0.3,33.3,0.3,0.5,50.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.2,0.0,2023
3,AERIAL POWERS,MIN,30,0.3,0.7,46.2,0.5,1.1,47.6,0.8,2.1,41.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.9,33.3,2023
4,ALAINA COATES,LVA,29,0.3,0.3,100,0.1,0.1,100,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
5,ALANNA SMITH,CHI,27,2.2,3.0,72.6,0.3,0.8,41.9,0.2,0.5,36.8,0.1,0.4,23.5,0.0,0.1,25.0,0.7,2.1,30.9,2023
6,ALIYAH BOSTON,IND,22,3.9,5.9,65.8,1.3,2.8,47.3,0.5,1.1,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,40.0,2023
7,ALLISHA GRAY,ATL,29,2.3,3.5,65.4,1.6,3.8,42.8,0.7,2.0,37.3,0.1,0.1,50.0,0.0,0.1,25.0,1.0,2.9,35.8,2023
8,ALYSHA CLARK,LVA,36,0.5,0.7,71.4,0.4,0.9,47.2,0.1,0.2,33.3,0.3,0.8,37.9,0.3,0.5,58.8,0.8,2.2,34.9,2023
9,ALYSSA THOMAS,CON,32,3.6,6.0,59.4,2.0,5.2,37.7,0.6,1.6,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2023
10,AMANDA ZAHUI B,IND,30,0.3,0.5,58.8,0.1,0.2,33.3,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.2,33.3,0.1,1.0,15.2,2023
11,ARELLA GUIRANTES,SEA,26,0.1,0.3,50.0,0.1,0.3,33.3,0.1,0.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,20.0,2023
