player,team,Usage,pct_FGA,pct_3PA,pct_FTA,pct_OREB,pct_REB,pct_AST,pct_TOV,pct_BLA,pct_PF,pct_PFD
TINA CHARLES,NYL,29.6,31.7,12.1,31.8,28.0,27.8,15.4,21.7,19.6,17.2,28.6
MARIA KLIUNDIKOVA,LAS,28.9,33.2,19.8,18.1,46.2,36.0,11.5,25.0,26.1,25.0,24.3
ARIKE OGUNBOWALE,DAL,28.8,30.7,32.1,38.5,7.0,8.9,27.8,18.4,21.3,16.9,32.4
NATASHA HOWARD,SEA,28.2,28.8,19.4,34.9,35.2,31.8,15.2,24.9,32.6,23.6,31.5
BRITTNEY GRINER,PHO,27.4,28.9,0.6,28.9,31.1,26.4,15.3,23.6,16.1,20.6,31.8
LIZ CAMBAGE,LVA,27.4,27.6,4.2,37.0,35.2,33.3,15.1,24.6,27.1,27.6,41.0
PARIS KEA,IND,26.4,27.8,34.6,13.8,6.7,9.1,33.3,33.3,14.3,14.8,20.8
TIFFANY HAYES,ATL,26.1,26.5,26.0,32.7,10.1,11.8,24.7,24.0,23.1,19.4,31.9
KELSEY MITCHELL,IND,26.0,29.1,52.8,16.9,1.6,7.5,24.3,20.2,31.0,15.8,18.2
DEWANNA BONNER,PHO,25.7,28.1,34.1,33.1,18.6,28.8,19.0,14.6,34.4,11.9,26.4
ALEX BENTLEY,ATL,25.5,29.1,40.0,12.8,5.7,9.6,36.9,19.3,4.0,17.2,12.3
A'JA WILSON,LVA,25.4,25.4,0.4,36.9,27.8,22.9,11.9,21.5,30.7,17.6,31.6
DIAMOND DESHIELDS,CHI,25.1,26.4,27.7,32.1,13.7,19.3,14.3,19.4,25.3,20.6,29.1
ELENA DELLE DONNE,WAS,25.0,27.4,22.2,30.8,28.6,34.9,13.5,12.4,33.3,9.9,24.6
NNEKA OGWUMIKE,LAS,24.6,25.7,14.4,28.5,36.3,36.9,13.6,19.2,25.3,23.4,28.2
ODYSSEY SIMS,MIN,24.5,24.9,20.5,26.4,9.1,12.0,33.8,25.5,23.5,15.4,26.2
JEWELL LOYD,SEA,24.1,26.3,33.6,23.1,6.8,13.4,17.9,20.5,11.9,12.5,17.8
TIANNA HAWKINS,WAS,23.7,25.7,28.9,21.9,40.9,32.6,9.2,21.6,26.8,35.8,26.6
AERIAL POWERS,WAS,23.5,24.4,30.4,31.6,25.6,19.3,14.7,22.0,28.6,20.1,28.1
CANDACE PARKER,LAS,23.0,21.8,18.6,31.5,25.8,29.8,27.0,27.4,35.1,16.4,27.2
CHELSEA GRAY,LAS,22.9,23.2,23.3,18.7,6.0,13.6,38.7,29.0,15.8,9.8,16.8
BRIA HARTLEY,NYL,22.8,22.6,28.0,27.0,14.4,16.1,29.3,24.2,29.6,16.8,20.8
KAHLEAH COPPER,CHI,22.5,24.7,22.2,25.5,11.0,14.6,14.0,19.0,31.8,20.7,20.0
BRITTNEY SYKES,ATL,22.4,23.0,22.1,24.3,12.1,18.8,23.7,21.7,29.6,16.7,26.7
COURTNEY WILLIAMS,CON,22.2,24.3,6.8,17.4,17.6,20.6,26.8,16.5,13.5,11.0,16.7
JONQUEL JONES,CON,21.9,21.8,25.3,31.8,41.5,35.4,10.7,19.8,32.0,23.8,31.5
KAELA DAVIS,DAL,21.7,21.7,18.0,14.2,9.6,13.8,30.1,29.6,23.0,22.7,15.3
ERICA WHEELER,IND,21.7,21.0,39.3,14.1,3.0,13.7,44.9,33.4,25.0,21.0,14.6
SEIMONE AUGUSTUS,MIN,21.4,25.1,20.7,6.5,7.1,6.4,19.2,18.2,7.1,8.2,6.8
CHLOE JACKSON,CHI,20.9,16.7,0.0,26.1,33.3,26.1,30.8,37.5,80.0,6.3,16.7
EMMA MEESSEMAN,WAS,20.9,23.1,13.5,19.7,20.9,21.0,23.5,13.5,28.1,18.2,17.3
SHENISE JOHNSON,IND,20.7,24.8,33.3,12.3,19.6,17.3,20.2,14.3,12.5,19.1,11.4
RIQUNA WILLIAMS,LAS,20.7,22.5,40.1,23.3,8.9,11.3,13.5,13.4,9.0,21.8,20.4
DIANA TAURASI,PHO,20.4,19.6,42.9,27.7,6.3,17.3,45.7,26.0,8.3,25.4,21.5
JORDIN CANADA,SEA,20.4,19.7,10.0,24.4,6.3,10.3,39.7,24.8,18.9,15.0,21.3
KALEENA MOSQUEDA-LEWIS,SEA,20.3,23.2,31.2,9.3,10.1,10.4,8.4,19.3,23.3,21.7,7.8
KIA NURSE,NYL,20.3,20.8,37.8,31.2,8.6,10.0,16.3,15.0,22.2,11.6,27.4
JASMINE THOMAS,CON,20.1,19.5,22.7,16.2,7.0,10.5,34.6,27.6,15.6,14.7,17.5
TIFFANY MITCHELL,IND,19.9,20.1,21.2,24.0,11.4,12.9,19.5,19.9,17.6,21.4,24.8
ARIEL ATKINS,WAS,19.8,21.1,27.7,19.0,16.8,14.0,14.0,16.2,28.1,25.3,26.3
SYLVIA FOWLES,MIN,19.8,20.2,0.0,25.7,44.0,36.0,9.7,17.0,26.3,22.4,27.6
GABBY WILLIAMS,CHI,19.8,20.9,16.9,14.0,13.0,15.7,30.4,24.9,10.9,16.4,11.9
SHAO TING,MIN,19.7,20.0,0.0,37.5,33.3,23.1,15.4,22.2,33.3,37.5,37.5
KRISTI TOLIVER,WAS,19.7,19.7,23.3,13.8,8.3,12.2,35.1,28.3,6.5,13.0,18.2
CHEYENNE PARKER-TYUS,CHI,19.6,20.4,5.8,26.2,45.9,34.7,9.3,16.9,31.3,26.2,31.3
NIA COFFEY,ATL,19.6,21.1,28.3,22.1,21.3,22.9,9.4,14.6,33.3,27.7,22.4
BRIA HOLMES,CON,19.6,21.2,25.8,21.6,7.2,10.6,13.7,14.6,25.0,14.3,16.5
DANIELLE ROBINSON,MIN,19.5,20.3,10.8,18.2,11.2,15.4,25.9,19.9,25.2,16.2,20.1
YVONNE TURNER,PHO,19.5,18.5,26.7,18.3,8.4,16.5,23.8,28.1,15.6,15.5,17.2
TEAIRA MCCOWAN,IND,19.5,18.0,0.0,40.3,58.7,45.2,2.5,16.3,29.0,32.3,36.5
CHINEY OGWUMIKE,LAS,19.5,20.3,1.2,28.2,46.6,30.1,8.1,16.6,30.2,33.2,27.0
DEARICA HAMBY,LVA,19.4,19.6,15.1,21.6,37.3,31.7,14.7,20.1,27.0,19.0,20.6
BRIONNA JONES,CON,19.3,19.0,1.0,25.5,47.4,27.8,8.8,21.1,39.4,30.3,28.6
KAYLA THORNTON,DAL,19.2,21.1,25.4,17.9,21.5,19.8,15.3,14.3,19.2,15.3,18.2
KAYLA MCBRIDE,LVA,19.0,20.5,41.2,18.1,9.7,14.4,16.8,16.3,9.2,11.5,17.6
CANDICE DUPREE,IND,18.9,21.0,0.7,12.8,11.5,18.8,19.8,14.6,7.2,8.0,10.6
MARINA MABREY,LAS,18.8,21.5,41.0,11.0,7.1,12.8,19.7,15.5,25.0,15.5,18.3
